識別番号,漢字,種類,異体字(表に含む)
357,逆,1. 常用漢字の通用字体,
358,虐,1. 常用漢字の通用字体,
359,九,1. 常用漢字の通用字体,
360,久,1. 常用漢字の通用字体,
361,及,1. 常用漢字の通用字体,
362,弓,1. 常用漢字の通用字体,
363,丘,1. 常用漢字の通用字体,
364,旧,1. 常用漢字の通用字体,
365,休,1. 常用漢字の通用字体,
366,吸,1. 常用漢字の通用字体,
367,朽,1. 常用漢字の通用字体,
368,臼,1. 常用漢字の通用字体,
369,求,1. 常用漢字の通用字体,
370,究,1. 常用漢字の通用字体,
371,泣,1. 常用漢字の通用字体,
372,急,1. 常用漢字の通用字体,
373,級,1. 常用漢字の通用字体,
374,糾,1. 常用漢字の通用字体,
375,宮,1. 常用漢字の通用字体,
376,救,1. 常用漢字の通用字体,
377,球,1. 常用漢字の通用字体,
378,給,1. 常用漢字の通用字体,
379,嗅,1. 常用漢字の通用字体,
380,窮,1. 常用漢字の通用字体,
381,牛,1. 常用漢字の通用字体,
382,去,1. 常用漢字の通用字体,
383,巨,1. 常用漢字の通用字体,
384,居,1. 常用漢字の通用字体,
385,拒,1. 常用漢字の通用字体,
386,拠,1. 常用漢字の通用字体,
387,挙,1. 常用漢字の通用字体,
388,虚,1. 常用漢字の通用字体,虛
389,許,1. 常用漢字の通用字体,
390,距,1. 常用漢字の通用字体,
391,魚,1. 常用漢字の通用字体,
392,御,1. 常用漢字の通用字体,
393,漁,1. 常用漢字の通用字体,
394,凶,1. 常用漢字の通用字体,
395,共,1. 常用漢字の通用字体,
396,叫,1. 常用漢字の通用字体,
397,狂,1. 常用漢字の通用字体,
398,京,1. 常用漢字の通用字体,
399,享,1. 常用漢字の通用字体,
400,供,1. 常用漢字の通用字体,
401,協,1. 常用漢字の通用字体,
402,況,1. 常用漢字の通用字体,
403,峡,1. 常用漢字の通用字体,峽
404,挟,1. 常用漢字の通用字体,
405,狭,1. 常用漢字の通用字体,狹
406,恐,1. 常用漢字の通用字体,
407,恭,1. 常用漢字の通用字体,
408,胸,1. 常用漢字の通用字体,
409,脅,1. 常用漢字の通用字体,
410,強,1. 常用漢字の通用字体,
411,教,1. 常用漢字の通用字体,
412,郷,1. 常用漢字の通用字体,
413,境,1. 常用漢字の通用字体,
414,橋,1. 常用漢字の通用字体,
415,矯,1. 常用漢字の通用字体,
416,鏡,1. 常用漢字の通用字体,
417,競,1. 常用漢字の通用字体,
418,響,1. 常用漢字の通用字体,響
419,驚,1. 常用漢字の通用字体,
420,仰,1. 常用漢字の通用字体,
421,暁,1. 常用漢字の通用字体,曉
422,業,1. 常用漢字の通用字体,
423,凝,1. 常用漢字の通用字体,
424,曲,1. 常用漢字の通用字体,
425,局,1. 常用漢字の通用字体,
426,極,1. 常用漢字の通用字体,
427,玉,1. 常用漢字の通用字体,
428,巾,1. 常用漢字の通用字体,
429,斤,1. 常用漢字の通用字体,
430,均,1. 常用漢字の通用字体,
431,近,1. 常用漢字の通用字体,
432,金,1. 常用漢字の通用字体,
433,菌,1. 常用漢字の通用字体,
434,勤,1. 常用漢字の通用字体,勤
435,琴,1. 常用漢字の通用字体,
436,筋,1. 常用漢字の通用字体,
437,僅,1. 常用漢字の通用字体,
438,禁,1. 常用漢字の通用字体,
439,緊,1. 常用漢字の通用字体,
440,錦,1. 常用漢字の通用字体,
441,謹,1. 常用漢字の通用字体,謹
442,襟,1. 常用漢字の通用字体,
443,吟,1. 常用漢字の通用字体,
444,銀,1. 常用漢字の通用字体,
445,区,1. 常用漢字の通用字体,
446,句,1. 常用漢字の通用字体,
447,苦,1. 常用漢字の通用字体,
448,駆,1. 常用漢字の通用字体,駈
449,具,1. 常用漢字の通用字体,
450,惧,1. 常用漢字の通用字体,
451,愚,1. 常用漢字の通用字体,
452,空,1. 常用漢字の通用字体,
453,偶,1. 常用漢字の通用字体,
454,遇,1. 常用漢字の通用字体,
455,隅,1. 常用漢字の通用字体,
456,串,1. 常用漢字の通用字体,
457,屈,1. 常用漢字の通用字体,
458,掘,1. 常用漢字の通用字体,
459,窟,1. 常用漢字の通用字体,
460,熊,1. 常用漢字の通用字体,
461,繰,1. 常用漢字の通用字体,
462,君,1. 常用漢字の通用字体,
463,訓,1. 常用漢字の通用字体,
464,勲,1. 常用漢字の通用字体,勳
465,薫,1. 常用漢字の通用字体,薰
466,軍,1. 常用漢字の通用字体,
467,郡,1. 常用漢字の通用字体,
468,群,1. 常用漢字の通用字体,
469,兄,1. 常用漢字の通用字体,
470,刑,1. 常用漢字の通用字体,
471,形,1. 常用漢字の通用字体,
472,系,1. 常用漢字の通用字体,
473,径,1. 常用漢字の通用字体,
474,茎,1. 常用漢字の通用字体,
475,係,1. 常用漢字の通用字体,
476,型,1. 常用漢字の通用字体,
477,契,1. 常用漢字の通用字体,
478,計,1. 常用漢字の通用字体,
479,恵,1. 常用漢字の通用字体,惠
480,啓,1. 常用漢字の通用字体,
481,掲,1. 常用漢字の通用字体,揭
482,渓,1. 常用漢字の通用字体,
483,経,1. 常用漢字の通用字体,
484,蛍,1. 常用漢字の通用字体,
485,敬,1. 常用漢字の通用字体,
486,景,1. 常用漢字の通用字体,
487,軽,1. 常用漢字の通用字体,
488,傾,1. 常用漢字の通用字体,
489,携,1. 常用漢字の通用字体,
490,継,1. 常用漢字の通用字体,
491,詣,1. 常用漢字の通用字体,
492,慶,1. 常用漢字の通用字体,
493,憬,1. 常用漢字の通用字体,
494,稽,1. 常用漢字の通用字体,
495,憩,1. 常用漢字の通用字体,
496,警,1. 常用漢字の通用字体,
497,鶏,1. 常用漢字の通用字体,鷄
498,芸,1. 常用漢字の通用字体,藝
499,迎,1. 常用漢字の通用字体,
500,鯨,1. 常用漢字の通用字体,
501,隙,1. 常用漢字の通用字体,
502,劇,1. 常用漢字の通用字体,
503,撃,1. 常用漢字の通用字体,擊
504,激,1. 常用漢字の通用字体,
505,桁,1. 常用漢字の通用字体,
506,欠,1. 常用漢字の通用字体,
507,穴,1. 常用漢字の通用字体,
508,血,1. 常用漢字の通用字体,
509,決,1. 常用漢字の通用字体,
510,結,1. 常用漢字の通用字体,
511,傑,1. 常用漢字の通用字体,
512,潔,1. 常用漢字の通用字体,
513,月,1. 常用漢字の通用字体,
514,犬,1. 常用漢字の通用字体,
515,件,1. 常用漢字の通用字体,
516,見,1. 常用漢字の通用字体,
517,券,1. 常用漢字の通用字体,
518,肩,1. 常用漢字の通用字体,
519,建,1. 常用漢字の通用字体,
520,研,1. 常用漢字の通用字体,
521,県,1. 常用漢字の通用字体,縣
522,倹,1. 常用漢字の通用字体,儉
523,兼,1. 常用漢字の通用字体,
524,剣,1. 常用漢字の通用字体,劍
525,拳,1. 常用漢字の通用字体,
526,軒,1. 常用漢字の通用字体,
527,健,1. 常用漢字の通用字体,
528,険,1. 常用漢字の通用字体,險
529,圏,1. 常用漢字の通用字体,圈
530,堅,1. 常用漢字の通用字体,
531,検,1. 常用漢字の通用字体,檢
532,嫌,1. 常用漢字の通用字体,
533,献,1. 常用漢字の通用字体,
534,絹,1. 常用漢字の通用字体,
535,遣,1. 常用漢字の通用字体,
536,権,1. 常用漢字の通用字体,
537,憲,1. 常用漢字の通用字体,
538,賢,1. 常用漢字の通用字体,
539,謙,1. 常用漢字の通用字体,
540,鍵,1. 常用漢字の通用字体,
541,繭,1. 常用漢字の通用字体,
542,顕,1. 常用漢字の通用字体,顯
543,験,1. 常用漢字の通用字体,驗
544,懸,1. 常用漢字の通用字体,
545,元,1. 常用漢字の通用字体,
546,幻,1. 常用漢字の通用字体,
