識別番号,漢字,種類,異体字(表に含む)
1384,昼,1. 常用漢字の通用字体,晝
1385,柱,1. 常用漢字の通用字体,
1386,衷,1. 常用漢字の通用字体,
1387,酎,1. 常用漢字の通用字体,
1388,鋳,1. 常用漢字の通用字体,鑄
1389,駐,1. 常用漢字の通用字体,
1390,著,1. 常用漢字の通用字体,著
1391,貯,1. 常用漢字の通用字体,
1392,丁,1. 常用漢字の通用字体,
1393,弔,1. 常用漢字の通用字体,
1394,庁,1. 常用漢字の通用字体,廳
1395,兆,1. 常用漢字の通用字体,
1396,町,1. 常用漢字の通用字体,
1397,長,1. 常用漢字の通用字体,
1398,挑,1. 常用漢字の通用字体,
1399,帳,1. 常用漢字の通用字体,
1400,張,1. 常用漢字の通用字体,
1401,彫,1. 常用漢字の通用字体,
1402,眺,1. 常用漢字の通用字体,
1403,釣,1. 常用漢字の通用字体,
1404,頂,1. 常用漢字の通用字体,
1405,鳥,1. 常用漢字の通用字体,
1406,朝,1. 常用漢字の通用字体,
1407,貼,1. 常用漢字の通用字体,
1408,超,1. 常用漢字の通用字体,
1409,腸,1. 常用漢字の通用字体,
1410,跳,1. 常用漢字の通用字体,
1411,徴,1. 常用漢字の通用字体,徵
1412,嘲,1. 常用漢字の通用字体,
1413,潮,1. 常用漢字の通用字体,
1414,澄,1. 常用漢字の通用字体,
1415,調,1. 常用漢字の通用字体,
1416,聴,1. 常用漢字の通用字体,聽
1417,懲,1. 常用漢字の通用字体,懲
1418,直,1. 常用漢字の通用字体,
1419,勅,1. 常用漢字の通用字体,
1420,捗,1. 常用漢字の通用字体,
1421,沈,1. 常用漢字の通用字体,
1422,珍,1. 常用漢字の通用字体,
1423,朕,1. 常用漢字の通用字体,
1424,陳,1. 常用漢字の通用字体,
1425,賃,1. 常用漢字の通用字体,
1426,鎮,1. 常用漢字の通用字体,鎭
1427,追,1. 常用漢字の通用字体,
1428,椎,1. 常用漢字の通用字体,
1429,墜,1. 常用漢字の通用字体,
1430,通,1. 常用漢字の通用字体,
1431,痛,1. 常用漢字の通用字体,
1432,塚,1. 常用漢字の通用字体,
1433,漬,1. 常用漢字の通用字体,
1434,坪,1. 常用漢字の通用字体,
1435,爪,1. 常用漢字の通用字体,
1436,鶴,1. 常用漢字の通用字体,
1437,低,1. 常用漢字の通用字体,
1438,呈,1. 常用漢字の通用字体,
1439,廷,1. 常用漢字の通用字体,
1440,弟,1. 常用漢字の通用字体,
1441,定,1. 常用漢字の通用字体,
1442,底,1. 常用漢字の通用字体,
1443,抵,1. 常用漢字の通用字体,
1444,邸,1. 常用漢字の通用字体,
1445,亭,1. 常用漢字の通用字体,
1446,貞,1. 常用漢字の通用字体,
1447,帝,1. 常用漢字の通用字体,
1448,訂,1. 常用漢字の通用字体,
1449,庭,1. 常用漢字の通用字体,
1450,逓,1. 常用漢字の通用字体,
1451,停,1. 常用漢字の通用字体,
1452,偵,1. 常用漢字の通用字体,
1453,堤,1. 常用漢字の通用字体,
1454,提,1. 常用漢字の通用字体,
1455,程,1. 常用漢字の通用字体,
1456,艇,1. 常用漢字の通用字体,
1457,締,1. 常用漢字の通用字体,
1458,諦,1. 常用漢字の通用字体,
1459,泥,1. 常用漢字の通用字体,
1460,的,1. 常用漢字の通用字体,
1461,笛,1. 常用漢字の通用字体,
1462,摘,1. 常用漢字の通用字体,
1463,滴,1. 常用漢字の通用字体,
1464,適,1. 常用漢字の通用字体,
1465,敵,1. 常用漢字の通用字体,
1466,溺,1. 常用漢字の通用字体,
1467,迭,1. 常用漢字の通用字体,
1468,哲,1. 常用漢字の通用字体,
1469,鉄,1. 常用漢字の通用字体,
1470,徹,1. 常用漢字の通用字体,
1471,撤,1. 常用漢字の通用字体,
1472,天,1. 常用漢字の通用字体,
1473,典,1. 常用漢字の通用字体,
1474,店,1. 常用漢字の通用字体,
1475,点,1. 常用漢字の通用字体,
1476,展,1. 常用漢字の通用字体,
1477,添,1. 常用漢字の通用字体,
1478,転,1. 常用漢字の通用字体,轉
1479,塡,1. 常用漢字の通用字体,
1480,田,1. 常用漢字の通用字体,
1481,伝,1. 常用漢字の通用字体,傳
1482,殿,1. 常用漢字の通用字体,
1483,電,1. 常用漢字の通用字体,
1484,斗,1. 常用漢字の通用字体,
1485,吐,1. 常用漢字の通用字体,
1486,妬,1. 常用漢字の通用字体,
1487,徒,1. 常用漢字の通用字体,
1488,途,1. 常用漢字の通用字体,
1489,都,1. 常用漢字の通用字体,都
1490,渡,1. 常用漢字の通用字体,
1491,塗,1. 常用漢字の通用字体,
1492,賭,1. 常用漢字の通用字体,
1493,土,1. 常用漢字の通用字体,
1494,奴,1. 常用漢字の通用字体,
1495,努,1. 常用漢字の通用字体,
1496,度,1. 常用漢字の通用字体,
1497,怒,1. 常用漢字の通用字体,
1498,刀,1. 常用漢字の通用字体,
1499,冬,1. 常用漢字の通用字体,
1500,灯,1. 常用漢字の通用字体,燈
1501,当,1. 常用漢字の通用字体,
1502,投,1. 常用漢字の通用字体,
1503,豆,1. 常用漢字の通用字体,
1504,東,1. 常用漢字の通用字体,
1505,到,1. 常用漢字の通用字体,
1506,逃,1. 常用漢字の通用字体,
1507,倒,1. 常用漢字の通用字体,
1508,凍,1. 常用漢字の通用字体,
1509,唐,1. 常用漢字の通用字体,
1510,島,1. 常用漢字の通用字体,嶋
1511,桃,1. 常用漢字の通用字体,
1512,討,1. 常用漢字の通用字体,
1513,透,1. 常用漢字の通用字体,
1514,党,1. 常用漢字の通用字体,
1515,悼,1. 常用漢字の通用字体,
1516,盗,1. 常用漢字の通用字体,盜
1517,陶,1. 常用漢字の通用字体,
1518,塔,1. 常用漢字の通用字体,
1519,搭,1. 常用漢字の通用字体,
1520,棟,1. 常用漢字の通用字体,
1521,湯,1. 常用漢字の通用字体,
1522,痘,1. 常用漢字の通用字体,
1523,登,1. 常用漢字の通用字体,
1524,答,1. 常用漢字の通用字体,
1525,等,1. 常用漢字の通用字体,
1526,筒,1. 常用漢字の通用字体,
1527,統,1. 常用漢字の通用字体,
1528,稲,1. 常用漢字の通用字体,稻
1529,踏,1. 常用漢字の通用字体,
1530,糖,1. 常用漢字の通用字体,
1531,頭,1. 常用漢字の通用字体,
1532,謄,1. 常用漢字の通用字体,
1533,藤,1. 常用漢字の通用字体,
1534,闘,1. 常用漢字の通用字体,
1535,騰,1. 常用漢字の通用字体,
1536,同,1. 常用漢字の通用字体,
1537,洞,1. 常用漢字の通用字体,
1538,胴,1. 常用漢字の通用字体,
1539,動,1. 常用漢字の通用字体,
1540,堂,1. 常用漢字の通用字体,
1541,童,1. 常用漢字の通用字体,
1542,道,1. 常用漢字の通用字体,
1543,働,1. 常用漢字の通用字体,
1544,銅,1. 常用漢字の通用字体,
1545,導,1. 常用漢字の通用字体,
1546,瞳,1. 常用漢字の通用字体,
1547,峠,1. 常用漢字の通用字体,
1548,匿,1. 常用漢字の通用字体,
1549,特,1. 常用漢字の通用字体,
1550,得,1. 常用漢字の通用字体,
1551,督,1. 常用漢字の通用字体,
1552,徳,1. 常用漢字の通用字体,德
1553,篤,1. 常用漢字の通用字体,
1554,毒,1. 常用漢字の通用字体,
1555,独,1. 常用漢字の通用字体,
1556,読,1. 常用漢字の通用字体,
1557,栃,1. 常用漢字の通用字体,
1558,凸,1. 常用漢字の通用字体,
1559,突,1. 常用漢字の通用字体,突
1560,届,1. 常用漢字の通用字体,
1561,屯,1. 常用漢字の通用字体,
1562,豚,1. 常用漢字の通用字体,
1563,頓,1. 常用漢字の通用字体,
1564,貪,1. 常用漢字の通用字体,
1565,鈍,1. 常用漢字の通用字体,
1566,曇,1. 常用漢字の通用字体,
1567,丼,1. 常用漢字の通用字体,
1568,那,1. 常用漢字の通用字体,
1569,奈,1. 常用漢字の通用字体,
1570,内,1. 常用漢字の通用字体,
1571,梨,1. 常用漢字の通用字体,
1572,謎,1. 常用漢字の通用字体,
1573,鍋,1. 常用漢字の通用字体,
1574,南,1. 常用漢字の通用字体,
1575,軟,1. 常用漢字の通用字体,
1576,難,1. 常用漢字の通用字体,難
1577,二,1. 常用漢字の通用字体,
1578,尼,1. 常用漢字の通用字体,
1579,弐,1. 常用漢字の通用字体,
1580,匂,1. 常用漢字の通用字体,
1581,肉,1. 常用漢字の通用字体,
1582,虹,1. 常用漢字の通用字体,
1583,日,1. 常用漢字の通用字体,
1584,入,1. 常用漢字の通用字体,
1585,乳,1. 常用漢字の通用字体,
1586,尿,1. 常用漢字の通用字体,
1587,任,1. 常用漢字の通用字体,
1588,妊,1. 常用漢字の通用字体,
1589,忍,1. 常用漢字の通用字体,
1590,認,1. 常用漢字の通用字体,
1591,寧,1. 常用漢字の通用字体,
1592,熱,1. 常用漢字の通用字体,
1593,年,1. 常用漢字の通用字体,
1594,念,1. 常用漢字の通用字体,
1595,捻,1. 常用漢字の通用字体,
1596,粘,1. 常用漢字の通用字体,
1597,燃,1. 常用漢字の通用字体,
1598,悩,1. 常用漢字の通用字体,
1599,納,1. 常用漢字の通用字体,
1600,能,1. 常用漢字の通用字体,
1601,脳,1. 常用漢字の通用字体,
1602,農,1. 常用漢字の通用字体,
1603,濃,1. 常用漢字の通用字体,
1604,把,1. 常用漢字の通用字体,
1605,波,1. 常用漢字の通用字体,
1606,派,1. 常用漢字の通用字体,
1607,破,1. 常用漢字の通用字体,
1608,覇,1. 常用漢字の通用字体,
1609,馬,1. 常用漢字の通用字体,
1610,婆,1. 常用漢字の通用字体,
1611,罵,1. 常用漢字の通用字体,
1612,拝,1. 常用漢字の通用字体,拜
1613,杯,1. 常用漢字の通用字体,盃
1614,背,1. 常用漢字の通用字体,
1615,肺,1. 常用漢字の通用字体,
1616,俳,1. 常用漢字の通用字体,
1617,配,1. 常用漢字の通用字体,
1618,排,1. 常用漢字の通用字体,
1619,敗,1. 常用漢字の通用字体,
1620,廃,1. 常用漢字の通用字体,
1621,輩,1. 常用漢字の通用字体,
1622,売,1. 常用漢字の通用字体,賣
1623,倍,1. 常用漢字の通用字体,
1624,梅,1. 常用漢字の通用字体,梅
1625,培,1. 常用漢字の通用字体,
1626,陪,1. 常用漢字の通用字体,
1627,媒,1. 常用漢字の通用字体,
1628,買,1. 常用漢字の通用字体,
1629,賠,1. 常用漢字の通用字体,
1630,白,1. 常用漢字の通用字体,
1631,伯,1. 常用漢字の通用字体,
1632,拍,1. 常用漢字の通用字体,
1633,泊,1. 常用漢字の通用字体,
1634,迫,1. 常用漢字の通用字体,
1635,剝,1. 常用漢字の通用字体,
1636,舶,1. 常用漢字の通用字体,
1637,博,1. 常用漢字の通用字体,
1638,薄,1. 常用漢字の通用字体,
1639,麦,1. 常用漢字の通用字体,
1640,漠,1. 常用漢字の通用字体,
1641,縛,1. 常用漢字の通用字体,
1642,爆,1. 常用漢字の通用字体,
1643,箱,1. 常用漢字の通用字体,
1644,箸,1. 常用漢字の通用字体,
1645,畑,1. 常用漢字の通用字体,
1646,肌,1. 常用漢字の通用字体,
1647,八,1. 常用漢字の通用字体,
1648,鉢,1. 常用漢字の通用字体,
1649,発,1. 常用漢字の通用字体,
1650,髪,1. 常用漢字の通用字体,髮
1651,伐,1. 常用漢字の通用字体,
1652,抜,1. 常用漢字の通用字体,拔
1653,罰,1. 常用漢字の通用字体,
1654,閥,1. 常用漢字の通用字体,
1655,反,1. 常用漢字の通用字体,
1656,半,1. 常用漢字の通用字体,
1657,氾,1. 常用漢字の通用字体,
1658,犯,1. 常用漢字の通用字体,
1659,帆,1. 常用漢字の通用字体,
1660,汎,1. 常用漢字の通用字体,
1661,伴,1. 常用漢字の通用字体,
1662,判,1. 常用漢字の通用字体,
1663,坂,1. 常用漢字の通用字体,
1664,阪,1. 常用漢字の通用字体,
1665,板,1. 常用漢字の通用字体,
1666,版,1. 常用漢字の通用字体,
1667,班,1. 常用漢字の通用字体,
1668,畔,1. 常用漢字の通用字体,
1669,般,1. 常用漢字の通用字体,
1670,販,1. 常用漢字の通用字体,
1671,斑,1. 常用漢字の通用字体,
1672,飯,1. 常用漢字の通用字体,
1673,搬,1. 常用漢字の通用字体,
1674,煩,1. 常用漢字の通用字体,
1675,頒,1. 常用漢字の通用字体,
1676,範,1. 常用漢字の通用字体,
1677,繁,1. 常用漢字の通用字体,繁
1678,藩,1. 常用漢字の通用字体,
1679,晩,1. 常用漢字の通用字体,晚
1680,番,1. 常用漢字の通用字体,
1681,蛮,1. 常用漢字の通用字体,
1682,盤,1. 常用漢字の通用字体,
1683,比,1. 常用漢字の通用字体,
1684,皮,1. 常用漢字の通用字体,
1685,妃,1. 常用漢字の通用字体,
1686,否,1. 常用漢字の通用字体,
1687,批,1. 常用漢字の通用字体,
1688,彼,1. 常用漢字の通用字体,
1689,披,1. 常用漢字の通用字体,
1690,肥,1. 常用漢字の通用字体,
1691,非,1. 常用漢字の通用字体,
1692,卑,1. 常用漢字の通用字体,卑
1693,飛,1. 常用漢字の通用字体,
1694,疲,1. 常用漢字の通用字体,
1695,秘,1. 常用漢字の通用字体,祕
1696,被,1. 常用漢字の通用字体,
1697,悲,1. 常用漢字の通用字体,
1698,扉,1. 常用漢字の通用字体,
1699,費,1. 常用漢字の通用字体,
1700,碑,1. 常用漢字の通用字体,碑
1701,罷,1. 常用漢字の通用字体,
1702,避,1. 常用漢字の通用字体,
1703,尾,1. 常用漢字の通用字体,
1704,眉,1. 常用漢字の通用字体,
1705,美,1. 常用漢字の通用字体,
1706,備,1. 常用漢字の通用字体,
1707,微,1. 常用漢字の通用字体,
1708,鼻,1. 常用漢字の通用字体,
1709,膝,1. 常用漢字の通用字体,
1710,肘,1. 常用漢字の通用字体,
1711,匹,1. 常用漢字の通用字体,
1712,必,1. 常用漢字の通用字体,
1713,泌,1. 常用漢字の通用字体,
1714,筆,1. 常用漢字の通用字体,
1715,姫,1. 常用漢字の通用字体,
1716,百,1. 常用漢字の通用字体,
1717,氷,1. 常用漢字の通用字体,
1718,表,1. 常用漢字の通用字体,
1719,俵,1. 常用漢字の通用字体,
1720,票,1. 常用漢字の通用字体,
1721,評,1. 常用漢字の通用字体,
1722,漂,1. 常用漢字の通用字体,
1723,標,1. 常用漢字の通用字体,
1724,苗,1. 常用漢字の通用字体,
1725,秒,1. 常用漢字の通用字体,
1726,病,1. 常用漢字の通用字体,
1727,描,1. 常用漢字の通用字体,
1728,猫,1. 常用漢字の通用字体,
1729,品,1. 常用漢字の通用字体,
1730,浜,1. 常用漢字の通用字体,
1731,貧,1. 常用漢字の通用字体,
1732,賓,1. 常用漢字の通用字体,賓
1733,頻,1. 常用漢字の通用字体,
1734,敏,1. 常用漢字の通用字体,敏
1735,瓶,1. 常用漢字の通用字体,
1736,不,1. 常用漢字の通用字体,
1737,夫,1. 常用漢字の通用字体,
1738,父,1. 常用漢字の通用字体,
1739,付,1. 常用漢字の通用字体,
1740,布,1. 常用漢字の通用字体,
1741,扶,1. 常用漢字の通用字体,
1742,府,1. 常用漢字の通用字体,
1743,怖,1. 常用漢字の通用字体,
1744,阜,1. 常用漢字の通用字体,
1745,附,1. 常用漢字の通用字体,
1746,訃,1. 常用漢字の通用字体,
1747,負,1. 常用漢字の通用字体,
1748,赴,1. 常用漢字の通用字体,
1749,浮,1. 常用漢字の通用字体,
1750,婦,1. 常用漢字の通用字体,
1751,符,1. 常用漢字の通用字体,
1752,富,1. 常用漢字の通用字体,冨
1753,普,1. 常用漢字の通用字体,
1754,腐,1. 常用漢字の通用字体,
1755,敷,1. 常用漢字の通用字体,
1756,膚,1. 常用漢字の通用字体,
1757,賦,1. 常用漢字の通用字体,
1758,譜,1. 常用漢字の通用字体,
1759,侮,1. 常用漢字の通用字体,侮
1760,武,1. 常用漢字の通用字体,
1761,部,1. 常用漢字の通用字体,
1762,舞,1. 常用漢字の通用字体,
1763,封,1. 常用漢字の通用字体,
1764,風,1. 常用漢字の通用字体,
1765,伏,1. 常用漢字の通用字体,
1766,服,1. 常用漢字の通用字体,
1767,副,1. 常用漢字の通用字体,
1768,幅,1. 常用漢字の通用字体,
1769,復,1. 常用漢字の通用字体,
1770,福,1. 常用漢字の通用字体,福
1771,腹,1. 常用漢字の通用字体,
1772,複,1. 常用漢字の通用字体,
1773,覆,1. 常用漢字の通用字体,
1774,払,1. 常用漢字の通用字体,拂
1775,沸,1. 常用漢字の通用字体,
1776,仏,1. 常用漢字の通用字体,佛
1777,物,1. 常用漢字の通用字体,
1778,粉,1. 常用漢字の通用字体,
1779,紛,1. 常用漢字の通用字体,
1780,雰,1. 常用漢字の通用字体,
1781,噴,1. 常用漢字の通用字体,
1782,墳,1. 常用漢字の通用字体,
1783,憤,1. 常用漢字の通用字体,
1784,奮,1. 常用漢字の通用字体,
1785,分,1. 常用漢字の通用字体,
1786,文,1. 常用漢字の通用字体,
1787,聞,1. 常用漢字の通用字体,
1788,丙,1. 常用漢字の通用字体,
1789,平,1. 常用漢字の通用字体,
1790,兵,1. 常用漢字の通用字体,
1791,併,1. 常用漢字の通用字体,
1792,並,1. 常用漢字の通用字体,
1793,柄,1. 常用漢字の通用字体,
1794,陛,1. 常用漢字の通用字体,
1795,閉,1. 常用漢字の通用字体,
1796,塀,1. 常用漢字の通用字体,
1797,幣,1. 常用漢字の通用字体,
1798,弊,1. 常用漢字の通用字体,
1799,蔽,1. 常用漢字の通用字体,
1800,餅,1. 常用漢字の通用字体,
1801,米,1. 常用漢字の通用字体,
1802,壁,1. 常用漢字の通用字体,
1803,璧,1. 常用漢字の通用字体,
1804,癖,1. 常用漢字の通用字体,
1805,別,1. 常用漢字の通用字体,
1806,蔑,1. 常用漢字の通用字体,
1807,片,1. 常用漢字の通用字体,
1808,辺,1. 常用漢字の通用字体,
1809,返,1. 常用漢字の通用字体,
1810,変,1. 常用漢字の通用字体,
1811,偏,1. 常用漢字の通用字体,
1812,遍,1. 常用漢字の通用字体,
1813,編,1. 常用漢字の通用字体,
1814,弁,1. 常用漢字の通用字体,
1815,便,1. 常用漢字の通用字体,
1816,勉,1. 常用漢字の通用字体,勉
1817,歩,1. 常用漢字の通用字体,步
1818,保,1. 常用漢字の通用字体,
1819,哺,1. 常用漢字の通用字体,
1820,捕,1. 常用漢字の通用字体,
1821,補,1. 常用漢字の通用字体,
1822,舗,1. 常用漢字の通用字体,
1823,母,1. 常用漢字の通用字体,
1824,募,1. 常用漢字の通用字体,
1825,墓,1. 常用漢字の通用字体,
1826,慕,1. 常用漢字の通用字体,
1827,暮,1. 常用漢字の通用字体,
1828,簿,1. 常用漢字の通用字体,
1829,方,1. 常用漢字の通用字体,
1830,包,1. 常用漢字の通用字体,
1831,芳,1. 常用漢字の通用字体,
1832,邦,1. 常用漢字の通用字体,
1833,奉,1. 常用漢字の通用字体,
1834,宝,1. 常用漢字の通用字体,
1835,抱,1. 常用漢字の通用字体,
1836,放,1. 常用漢字の通用字体,
1837,法,1. 常用漢字の通用字体,
1838,泡,1. 常用漢字の通用字体,
1839,胞,1. 常用漢字の通用字体,
1840,俸,1. 常用漢字の通用字体,
1841,倣,1. 常用漢字の通用字体,
1842,峰,1. 常用漢字の通用字体,峯
1843,砲,1. 常用漢字の通用字体,
1844,崩,1. 常用漢字の通用字体,
1845,訪,1. 常用漢字の通用字体,
1846,報,1. 常用漢字の通用字体,
1847,蜂,1. 常用漢字の通用字体,
1848,豊,1. 常用漢字の通用字体,
1849,飽,1. 常用漢字の通用字体,
1850,褒,1. 常用漢字の通用字体,
1851,縫,1. 常用漢字の通用字体,
1852,亡,1. 常用漢字の通用字体,
1853,乏,1. 常用漢字の通用字体,
1854,忙,1. 常用漢字の通用字体,
1855,坊,1. 常用漢字の通用字体,
1856,妨,1. 常用漢字の通用字体,
1857,忘,1. 常用漢字の通用字体,
1858,防,1. 常用漢字の通用字体,
1859,房,1. 常用漢字の通用字体,
1860,肪,1. 常用漢字の通用字体,
1861,某,1. 常用漢字の通用字体,
1862,冒,1. 常用漢字の通用字体,
1863,剖,1. 常用漢字の通用字体,
1864,紡,1. 常用漢字の通用字体,
1865,望,1. 常用漢字の通用字体,
1866,傍,1. 常用漢字の通用字体,
1867,帽,1. 常用漢字の通用字体,
1868,棒,1. 常用漢字の通用字体,
1869,貿,1. 常用漢字の通用字体,
1870,貌,1. 常用漢字の通用字体,
1871,暴,1. 常用漢字の通用字体,
1872,膨,1. 常用漢字の通用字体,
1873,謀,1. 常用漢字の通用字体,
1874,頰,1. 常用漢字の通用字体,
1875,北,1. 常用漢字の通用字体,
1876,木,1. 常用漢字の通用字体,
1877,朴,1. 常用漢字の通用字体,
1878,牧,1. 常用漢字の通用字体,
1879,睦,1. 常用漢字の通用字体,
1880,僕,1. 常用漢字の通用字体,
1881,墨,1. 常用漢字の通用字体,墨
1882,撲,1. 常用漢字の通用字体,
1883,没,1. 常用漢字の通用字体,
1884,勃,1. 常用漢字の通用字体,
1885,堀,1. 常用漢字の通用字体,
1886,本,1. 常用漢字の通用字体,
1887,奔,1. 常用漢字の通用字体,
1888,翻,1. 常用漢字の通用字体,飜
1889,凡,1. 常用漢字の通用字体,
1890,盆,1. 常用漢字の通用字体,
1891,麻,1. 常用漢字の通用字体,
1892,摩,1. 常用漢字の通用字体,
1893,磨,1. 常用漢字の通用字体,
1894,魔,1. 常用漢字の通用字体,
1895,毎,1. 常用漢字の通用字体,每
1896,妹,1. 常用漢字の通用字体,
1897,枚,1. 常用漢字の通用字体,
1898,昧,1. 常用漢字の通用字体,
1899,埋,1. 常用漢字の通用字体,
1900,幕,1. 常用漢字の通用字体,
1901,膜,1. 常用漢字の通用字体,
1902,枕,1. 常用漢字の通用字体,
1903,又,1. 常用漢字の通用字体,
1904,末,1. 常用漢字の通用字体,
1905,抹,1. 常用漢字の通用字体,
1906,万,1. 常用漢字の通用字体,萬
1907,満,1. 常用漢字の通用字体,
1908,慢,1. 常用漢字の通用字体,
1909,漫,1. 常用漢字の通用字体,
1910,未,1. 常用漢字の通用字体,
1911,味,1. 常用漢字の通用字体,
1912,魅,1. 常用漢字の通用字体,
1913,岬,1. 常用漢字の通用字体,
1914,密,1. 常用漢字の通用字体,
1915,蜜,1. 常用漢字の通用字体,
1916,脈,1. 常用漢字の通用字体,
1917,妙,1. 常用漢字の通用字体,
1918,民,1. 常用漢字の通用字体,
1919,眠,1. 常用漢字の通用字体,
1920,矛,1. 常用漢字の通用字体,
1921,務,1. 常用漢字の通用字体,
1922,無,1. 常用漢字の通用字体,
1923,夢,1. 常用漢字の通用字体,
1924,霧,1. 常用漢字の通用字体,
1925,娘,1. 常用漢字の通用字体,
1926,名,1. 常用漢字の通用字体,
1927,命,1. 常用漢字の通用字体,
1928,明,1. 常用漢字の通用字体,
1929,迷,1. 常用漢字の通用字体,
1930,冥,1. 常用漢字の通用字体,
1931,盟,1. 常用漢字の通用字体,
1932,銘,1. 常用漢字の通用字体,
1933,鳴,1. 常用漢字の通用字体,
1934,滅,1. 常用漢字の通用字体,
1935,免,1. 常用漢字の通用字体,
1936,面,1. 常用漢字の通用字体,
1937,綿,1. 常用漢字の通用字体,
1938,麺,1. 常用漢字の通用字体,
1939,茂,1. 常用漢字の通用字体,
1940,模,1. 常用漢字の通用字体,
1941,毛,1. 常用漢字の通用字体,
1942,妄,1. 常用漢字の通用字体,
1943,盲,1. 常用漢字の通用字体,
1944,耗,1. 常用漢字の通用字体,
1945,猛,1. 常用漢字の通用字体,
1946,網,1. 常用漢字の通用字体,
1947,目,1. 常用漢字の通用字体,
1948,黙,1. 常用漢字の通用字体,默
1949,門,1. 常用漢字の通用字体,
1950,紋,1. 常用漢字の通用字体,
1951,問,1. 常用漢字の通用字体,
1952,冶,1. 常用漢字の通用字体,
1953,夜,1. 常用漢字の通用字体,
1954,野,1. 常用漢字の通用字体,埜
1955,弥,1. 常用漢字の通用字体,彌
1956,厄,1. 常用漢字の通用字体,
1957,役,1. 常用漢字の通用字体,
1958,約,1. 常用漢字の通用字体,
1959,訳,1. 常用漢字の通用字体,
1960,薬,1. 常用漢字の通用字体,藥
1961,躍,1. 常用漢字の通用字体,
1962,闇,1. 常用漢字の通用字体,
1963,由,1. 常用漢字の通用字体,
1964,油,1. 常用漢字の通用字体,
1965,喩,1. 常用漢字の通用字体,
1966,愉,1. 常用漢字の通用字体,
1967,諭,1. 常用漢字の通用字体,
1968,輸,1. 常用漢字の通用字体,
1969,癒,1. 常用漢字の通用字体,
1970,唯,1. 常用漢字の通用字体,
1971,友,1. 常用漢字の通用字体,
1972,有,1. 常用漢字の通用字体,
1973,勇,1. 常用漢字の通用字体,
1974,幽,1. 常用漢字の通用字体,
1975,悠,1. 常用漢字の通用字体,
1976,郵,1. 常用漢字の通用字体,
1977,湧,1. 常用漢字の通用字体,
1978,猶,1. 常用漢字の通用字体,
1979,裕,1. 常用漢字の通用字体,
1980,遊,1. 常用漢字の通用字体,
1981,雄,1. 常用漢字の通用字体,
1982,誘,1. 常用漢字の通用字体,
1983,憂,1. 常用漢字の通用字体,
1984,融,1. 常用漢字の通用字体,
1985,優,1. 常用漢字の通用字体,
1986,与,1. 常用漢字の通用字体,與
1987,予,1. 常用漢字の通用字体,
1988,余,1. 常用漢字の通用字体,
1989,誉,1. 常用漢字の通用字体,
1990,預,1. 常用漢字の通用字体,
1991,幼,1. 常用漢字の通用字体,
1992,用,1. 常用漢字の通用字体,
1993,羊,1. 常用漢字の通用字体,
1994,妖,1. 常用漢字の通用字体,
1995,洋,1. 常用漢字の通用字体,
1996,要,1. 常用漢字の通用字体,
1997,容,1. 常用漢字の通用字体,
1998,庸,1. 常用漢字の通用字体,
1999,揚,1. 常用漢字の通用字体,
2000,揺,1. 常用漢字の通用字体,搖
2001,葉,1. 常用漢字の通用字体,
2002,陽,1. 常用漢字の通用字体,
2003,溶,1. 常用漢字の通用字体,
2004,腰,1. 常用漢字の通用字体,
2005,様,1. 常用漢字の通用字体,樣
2006,瘍,1. 常用漢字の通用字体,
2007,踊,1. 常用漢字の通用字体,
2008,窯,1. 常用漢字の通用字体,
2009,養,1. 常用漢字の通用字体,
2010,擁,1. 常用漢字の通用字体,
2011,謡,1. 常用漢字の通用字体,謠
2012,曜,1. 常用漢字の通用字体,
2013,抑,1. 常用漢字の通用字体,
2014,沃,1. 常用漢字の通用字体,
2015,浴,1. 常用漢字の通用字体,
2016,欲,1. 常用漢字の通用字体,
2017,翌,1. 常用漢字の通用字体,
2018,翼,1. 常用漢字の通用字体,
2019,拉,1. 常用漢字の通用字体,
2020,裸,1. 常用漢字の通用字体,
2021,羅,1. 常用漢字の通用字体,
2022,来,1. 常用漢字の通用字体,來
2023,雷,1. 常用漢字の通用字体,
2024,頼,1. 常用漢字の通用字体,賴
2025,絡,1. 常用漢字の通用字体,
2026,落,1. 常用漢字の通用字体,
2027,酪,1. 常用漢字の通用字体,
2028,辣,1. 常用漢字の通用字体,
2029,乱,1. 常用漢字の通用字体,
2030,卵,1. 常用漢字の通用字体,
2031,覧,1. 常用漢字の通用字体,覽
2032,濫,1. 常用漢字の通用字体,
2033,藍,1. 常用漢字の通用字体,
2034,欄,1. 常用漢字の通用字体,欄
2035,吏,1. 常用漢字の通用字体,
2036,利,1. 常用漢字の通用字体,
2037,里,1. 常用漢字の通用字体,
2038,理,1. 常用漢字の通用字体,
2039,痢,1. 常用漢字の通用字体,
2040,裏,1. 常用漢字の通用字体,
2041,履,1. 常用漢字の通用字体,
2042,璃,1. 常用漢字の通用字体,
2043,離,1. 常用漢字の通用字体,
2044,陸,1. 常用漢字の通用字体,
2045,立,1. 常用漢字の通用字体,
2046,律,1. 常用漢字の通用字体,
2047,慄,1. 常用漢字の通用字体,
2048,略,1. 常用漢字の通用字体,
2049,柳,1. 常用漢字の通用字体,
2050,流,1. 常用漢字の通用字体,
2051,留,1. 常用漢字の通用字体,
2052,竜,1. 常用漢字の通用字体,龍
2053,粒,1. 常用漢字の通用字体,
