掲載ページ,漢字識別番号,字体識別番号,漢字,字体,漢検級,補足
836,2923,3490,雛,,準1級,
837,2924,3491,据,,準2級,
837,2925,3492,杉,,準2級,
837,2926,3493,椙,,準1級,
838,2927,3494,苆,,1級,
839,2928,3495,裾,,2級,
840,2929,3496,,,1級,魚走
840,2930,3497,辷,,1級,
840,2931,3498,寸,,5級,
842,2932,3499,瀬,,3級,
842,2932,3500,瀨,旧字,1/準1級,
842,2933,3501,是,,4級,
842,2934,3502,井,,7級,
843,2935,3503,世,,8級,
844,2936,3504,正,,10級,
846,2937,3505,生,,10級,
850,2938,3506,成,,7級,
850,2938,3507,,旧字,1/準1級,
851,2939,3508,西,,9級,
852,2940,3509,声,,9級,
852,2940,3510,聲,旧字,1/準1級,
853,2941,3511,制,,6級,
853,2942,3512,姓,,4級,
853,2943,3513,征,,4級,
854,2944,3514,性,,6級,
854,2945,3515,青,,10級,
854,2945,3516,,旧字,1/準1級,
856,2946,3517,斉,,準2級,
856,2946,3518,齊,旧字,1/準1級,
857,2947,3519,政,,6級,
857,2948,3520,星,,9級,
858,2949,3521,牲,,3級,
858,2950,3522,省,,7級,
858,2951,3523,砌,,1級,
858,2952,3524,穽,,1級,
858,2953,3525,凄,,2級,
859,2954,3526,凊,,1級,
859,2955,3527,晟,,1級,
859,2955,3528,,旧字,1/準1級,
859,2956,3529,栖,,準1級,
859,2957,3530,眥,,1級,
859,2957,3531,眦,異体字,,
859,2958,3532,逝,,準2級,
859,2958,3533,,旧字,1/準1級,
859,2959,3534,悽,,1級,
859,2960,3535,旌,,1級,
860,2961,3536,清,,7級,
860,2961,3537,,旧字,1/準1級,
861,2962,3538,淒,,1級,
861,2963,3539,盛,,5級,
861,2963,3540,,旧字,1/準1級,
862,2964,3541,菁,,1級,
862,2965,3542,婿,,3級,
862,2965,3543,壻,旧字,1/準1級,
862,2965,3544,聟,異体字,1級,
862,2966,3545,惺,,1級,
862,2967,3546,掣,,1級,
863,2968,3547,晴,,9級,
863,2968,3548,,旧字,1/準1級,
863,2969,3549,棲,,準1級,
863,2970,3550,猩,,1級,
863,2971,3551,甥,,準1級,
863,2972,3552,貰,,準1級,
864,2973,3553,勢,,6級,
864,2974,3554,睛,,1級,
864,2975,3555,靖,,準1級,
864,2975,3556,,旧字,1/準1級,
864,2976,3557,,,1級,
864,2976,3558,筬,異体字,,
864,2977,3559,聖,,5級,
865,2978,3560,腥,,1級,
865,2979,3561,誠,,5級,
865,2979,3562,,旧字,1/準1級,
866,2980,3563,鉦,,準1級,
866,2981,3564,精,,6級,
866,2981,3565,,旧字,1/準1級,
867,2982,3566,蜻,,1級,
867,2983,3567,製,,6級,
868,2984,3568,誓,,準2級,
868,2985,3569,静,,7級,
868,2985,3570,靜,旧字,1/準1級,
869,2986,3571,嘶,,1級,
869,2987,3572,撕,,1級,
869,2988,3573,請,,3級,
869,2988,3574,,旧字,1/準1級,
869,2989,3575,整,,8級,
869,2990,3576,醒,,2級,
870,2991,3577,擠,,1級,
870,2992,3578,薺,,1級,
870,2993,3579,臍,,1級,
870,2994,3580,瀞,,準1級,
870,2994,3581,,異体字,,
870,2995,3582,鯖,,準1級,
870,2995,3583,,異体字,,
870,2996,3584,鶄,,1級,
870,2997,3585,躋,,1級,
870,2998,3586,齎,,1級,
871,2999,3587,霽,,1級,
871,3000,3588,齏,,1級,
871,3000,3589,韲,異体字,,
871,3001,3590,脆,,準1級,
871,3002,3591,毳,,1級,
871,3003,3592,税,,6級,
871,3003,3593,,旧字,1/準1級,
871,3004,3594,筮,,1級,
871,3005,3595,蛻,,1級,
871,3006,3596,,,1級,
871,3006,3597,蚋,異体字,,
871,3007,3598,噬,,1級,
872,3008,3599,贅,,1級,
872,3009,3600,躮,,1級,
872,3010,3601,夕,,10級,
872,3011,3602,斥,,3級,
873,3012,3603,石,,10級,
875,3013,3604,汐,,準1級,
875,3014,3605,赤,,10級,
876,3015,3606,昔,,8級,
876,3016,3607,析,,準2級,
877,3017,3608,席,,7級,
877,3018,3609,脊,,2級,
877,3019,3610,迹,,1級,
877,3020,3611,隻,,3級,
878,3021,3612,惜,,3級,
878,3022,3613,戚,,2級,
878,3023,3614,淅,,1級,
878,3024,3615,責,,6級,
878,3025,3616,晰,,1級,
878,3025,3617,晳,異体字,,
878,3026,3618,跖,,1級,
878,3027,3619,勣,,1級,
878,3028,3620,皙,,1級,
878,3029,3621,蓆,,1級,
879,3030,3622,裼,,1級,
879,3031,3623,跡,,4級,
879,3032,3624,碩,,準1級,
879,3033,3625,蜥,,1級,
879,3034,3626,槭,,1級,
879,3035,3627,瘠,,1級,
879,3036,3628,磧,,1級,
879,3037,3629,積,,7級,
880,3038,3630,績,,6級,
880,3039,3631,螫,,1級,
880,3040,3632,蹐,,1級,
880,3041,3633,蹟,,準1級,
881,3042,3634,蹠,,1級,
881,3043,3635,籍,,3級,
881,3044,3636,鶺,,1級,
881,3045,3637,切,,9級,
882,3046,3638,折,,7級,
883,3047,3639,拙,,準2級,
883,3048,3640,泄,,1級,
883,3049,3641,窃,,準2級,
883,3049,3642,竊,旧字,1/準1級,
884,3050,3643,屑,,準1級,
884,3050,3644,,異体字,,
884,3051,3645,浙,,1級,
884,3052,3646,啜,,1級,
884,3053,3647,接,,6級,
885,3054,3648,晢,,1級,
885,3054,3649,晣,異体字,,
885,3055,3650,梲,,1級,
885,3056,3651,紲,,1級,
885,3057,3652,設,,6級,
885,3058,3653,雪,,9級,
886,3059,3654,渫,,1級,
886,3060,3655,絏,,1級,
886,3061,3656,摂,,3級,
887,3061,3657,攝,旧字,1/準1級,
887,3062,3658,楔,,1級,
887,3063,3659,節,,7級,
887,3063,3660,節,旧字,1/準1級,
887,3063,3661,,旧字,1/準1級,
888,3064,3662,截,,1級,
888,3065,3663,説,,7級,
889,3066,3664,緤,,1級,
889,3067,3665,薛,,1級,
889,3068,3666,褻,,1級,
889,3069,3667,歠,,1級,
889,3070,3668,,,準1級,
889,3070,3669,鱈,異体字,,
889,3071,3670,舌,,5級,
889,3072,3671,絶,,6級,
891,3073,3672,千,,10級,
893,3074,3673,川,,10級,
894,3075,3674,仙,,準2級,
895,3076,3675,仟,,1級,
895,3077,3676,刋,,1級,
895,3078,3677,占,,4級,
895,3079,3678,先,,10級,
897,3080,3679,尖,,準1級,
897,3081,3680,舛,,準1級,
897,3082,3681,阡,,1級,
897,3083,3682,吮,,1級,
897,3084,3683,戔,,1級,
897,3085,3684,疝,,1級,
898,3086,3685,苫,,準1級,
898,3087,3686,宣,,5級,
898,3088,3687,専,,5級,
898,3088,3688,專,旧字,1/準1級,
899,3089,3689,染,,5級,
899,3090,3690,浅,,7級,
899,3090,3691,淺,旧字,1/準1級,
900,3091,3692,泉,,5級,
900,3092,3693,洗,,5級,
900,3093,3694,穿,,準1級,
900,3093,3695,,異体字,,
901,3094,3696,茜,,準1級,
901,3095,3697,荐,,1級,
901,3096,3698,倩,,1級,
901,3097,3699,扇,,4級,
901,3097,3700,,旧字,1/準1級,
901,3098,3701,旃,,1級,
901,3099,3702,栓,,準2級,
901,3100,3703,栴,,準1級,
901,3101,3704,栫,,1級,
902,3102,3705,涎,,1級,
902,3103,3706,閃,,準1級,
902,3104,3707,陝,,1級,
902,3105,3708,剪,,1級,
902,3106,3709,旋,,準2級,
902,3107,3710,痊,,1級,
903,3108,3711,笘,,1級,
903,3109,3712,船,,9級,
903,3110,3713,釧,,準1級,
903,3111,3714,孱,,1級,
903,3112,3715,揃,,準1級,
903,3112,3716,,異体字,,
903,3113,3717,牋,,1級,
904,3114,3718,筌,,1級,
904,3115,3719,筅,,1級,
904,3116,3720,僉,,1級,
904,3117,3721,,,1級,
904,3117,3722,僊,異体字,,
904,3118,3723,尠,,1級,
904,3119,3724,戦,,7級,
904,3119,3725,戰,旧字,1/準1級,
905,3120,3726,煎,,2級,
905,3120,3727,,異体字,,
905,3121,3728,羨,,2級,
905,3122,3729,腺,,2級,
905,3123,3730,詮,,2級,
905,3123,3731,,異体字,,
906,3124,3732,践,,準2級,
906,3124,3733,踐,旧字,1/準1級,
906,3125,3734,跣,,1級,
906,3126,3735,僭,,1級,
906,3126,3736,僣,異体字,,
906,3127,3737,煽,,準1級,
906,3127,3738,,異体字,,
906,3128,3739,箋,,2級,
906,3129,3740,綫,,1級,
906,3130,3741,銭,,5級,
906,3130,3742,錢,旧字,1/準1級,
907,3131,3743,銑,,準1級,
907,3132,3744,銓,,1級,
907,3133,3745,銛,,1級,
907,3134,3746,嬋,,1級,
907,3135,3747,撰,,準1級,
907,3135,3748,,異体字,,
907,3136,3749,潜,,3級,
907,3136,3750,潛,旧字,1/準1級,
908,3137,3751,潺,,1級,
908,3138,3752,璇,,1級,
908,3139,3753,箭,,準1級,
908,3139,3754,,異体字,,
908,3140,3755,線,,9級,
908,3141,3756,翦,,1級,
908,3142,3757,賤,,準1級,
908,3142,3758,賎,異体字,,
909,3143,3759,選,,7級,
909,3143,3760,,旧字,1/準1級,
909,3144,3761,遷,,準2級,
909,3144,3762,,旧字,1/準1級,
909,3145,3763,擅,,1級,
910,3146,3764,暹,,1級,
910,3147,3765,甎,,1級,
910,3148,3766,磚,,1級,
910,3149,3767,薦,,準2級,
910,3150,3768,氈,,1級,
910,3151,3769,獮,,1級,
910,3152,3770,簓,,1級,
910,3153,3771,繊,,準2級,
910,3153,3772,纖,旧字,1/準1級,
911,3154,3773,餞,,1級,
911,3155,3774,鮮,,4級,
911,3156,3775,濺,,1級,
911,3157,3776,燹,,1級,
911,3158,3777,瞻,,1級,
911,3159,3778,蟬,,準1級,
911,3159,3779,蝉,異体字,,
911,3160,3780,簽,,1級,
912,3161,3781,羶,,1級,
912,3162,3782,蟾,,1級,
912,3163,3783,孅,,1級,
912,3164,3784,蘚,,1級,
912,3165,3785,譫,,1級,
912,3166,3786,贍,,1級,
912,3167,3787,闡,,1級,
912,3168,3788,殲,,1級,
912,3168,3789,殱,異体字,,
912,3169,3790,鐫,,1級,
912,3170,3791,饌,,1級,
912,3171,3792,癬,,1級,
913,3172,3793,顫,,1級,
913,3173,3794,籤,,1級,
913,3173,3795,籖,異体字,,
913,3174,3796,鱓,,1級,
913,3175,3797,,,1級,
913,3175,3798,韆,異体字,,
913,3176,3799,,,1級,
913,3176,3800,冉,異体字,,
913,3177,3801,全,,8級,
913,3177,3802,,旧字,1/準1級,
914,3178,3803,,,準1級,
914,3178,3804,苒,異体字,,
914,3179,3805,前,,9級,
915,3180,3806,善,,5級,
916,3181,3807,喘,,1級,
917,3182,3808,然,,7級,
917,3183,3809,禅,,準2級,
917,3183,3810,禪,旧字,1/準1級,
917,3184,3811,漸,,準2級,
918,3185,3812,髥,,1級,
918,3185,3813,髯,異体字,,
918,3186,3814,膳,,2級,
918,3187,3815,繕,,3級,
918,3188,3816,蠕,,1級,
918,3189,3817,甅,,1級,
918,3190,3818,糎,,準1級,
918,3191,3819,竰,,1級,
918,3192,3820,咀,,1級,
918,3193,3821,姐,,準1級,
919,3194,3822,岨,,準1級,
919,3195,3823,徂,,1級,
919,3196,3824,泝,,1級,
919,3197,3825,狙,,2級,
919,3198,3826,阻,,3級,
919,3199,3827,俎,,1級,
919,3200,3828,怎,,1級,
920,3201,3829,祖,,6級,
920,3201,3830,祖,旧字,1/準1級,
920,3202,3831,胙,,1級,
920,3203,3832,,,1級,
920,3203,3833,梳,異体字,,
920,3204,3834,祚,,1級,
920,3205,3835,租,,準2級,
920,3206,3836,素,,6級,
922,3207,3837,措,,3級,
922,3208,3838,粗,,3級,
924,3209,3839,組,,9級,
924,3210,3840,甦,,1級,
924,3211,3841,疎,,準2級,
925,3212,3842,疏,,準1級,
925,3212,3843,,異体字,,
925,3213,3844,訴,,4級,
925,3214,3845,酥,,1級,
925,3215,3846,塑,,準2級,
925,3216,3847,楚,,準1級,
926,3217,3848,鼠,,準1級,
926,3218,3849,愬,,1級,
926,3219,3850,,,1級,
926,3219,3851,蔬,異体字,,
926,3220,3852,遡,,2級,
926,3220,3853,溯,異体字,準1級,
926,3220,3854,,異体字,,
927,3221,3855,礎,,3級,
927,3222,3856,蘇,,準1級,
927,3223,3857,齟,,1級,
927,3224,3858,麤,,1級,
927,3224,3859,麁,異体字,,
927,3225,3860,卅,,1級,
927,3225,3861,丗,異体字,,
928,3226,3862,双,,3級,
928,3226,3863,雙,旧字,1/準1級,
928,3227,3864,匆,,1級,
928,3228,3865,匝,,準1級,
928,3228,3866,帀,異体字,,
928,3229,3867,争,,7級,
928,3230,3868,爭,旧字,1/準1級,
929,3231,3869,壮,,準2級,
929,3232,3870,壯,旧字,1/準1級,
929,3233,3871,早,,10級,
930,3234,3872,艸,,1級,
930,3235,3873,妝,,1級,
930,3236,3874,宋,,準1級,
931,3237,3875,抓,,1級,
931,3238,3876,皁,,1級,
931,3239,3877,走,,9級,
931,3240,3878,,,1級,
931,3240,3879,剏,異体字,,
931,3241,3880,帚,,1級,
931,3242,3881,奏,,5級,
932,3243,3882,怱,,1級,
932,3243,3883,,異体字,,
932,3244,3884,相,,8級,
934,3245,3885,草,,10級,
935,3246,3886,荘,,準2級,
935,3246,3887,,旧字,1/準1級,
935,3246,3888,莊,旧字,1/準1級,
935,3247,3889,送,,8級,
935,3247,3890,,旧字,1/準1級,
936,3248,3891,倉,,7級,
936,3249,3892,叟,,1級,
936,3249,3893,,異体字,,
936,3250,3894,奘,,1級,
936,3250,3895,弉,異体字,,
936,3251,3896,捜,,準2級,
936,3251,3897,搜,旧字,1/準1級,
936,3252,3898,挿,,準2級,
936,3252,3899,插,旧字,1/準1級,
937,3253,3900,桑,,3級,
937,3254,3901,笊,,1級,
937,3255,3902,蚤,,準1級,
937,3256,3903,偬,,1級,
937,3257,3904,爽,,2級,
938,3258,3905,娵,,1級,
938,3259,3906,崢,,1級,
938,3260,3907,巣,,7級,
938,3260,3908,巢,旧字,1/準1級,
938,3261,3909,掃,,3級,
938,3261,3910,,旧字,1/準1級,
938,3262,3911,掫,,1級,
939,3263,3912,曹,,準2級,
939,3264,3913,曽,,2級,
939,3265,3914,曾,旧字,1/準1級,
939,3266,3915,淙,,1級,
939,3267,3916,窓,,5級,
939,3267,3917,窗,旧字,1/準1級,
939,3268,3918,創,,5級,
940,3269,3919,喪,,準2級,
940,3270,3920,惣,,準1級,
941,3271,3921,棗,,1級,
941,3272,3922,湊,,準1級,
941,3273,3923,痩,,2級,
941,3273,3924,瘦,旧字,1/準1級,
941,3274,3925,葬,,3級,
941,3275,3926,葱,,準1級,
941,3276,3927,装,,5級,
941,3276,3928,裝,旧字,1/準1級,
942,3277,3929,僧,,4級,
942,3278,3930,僧,旧字,1/準1級,
942,3279,3931,剿,,1級,
942,3279,3932,,異体字,,
942,3280,3933,勦,,1級,
942,3280,3934,,異体字,1級,
942,3281,3935,嫂,,,
942,3282,3936,想,,8級,
943,3283,3937,愴,,1級,
943,3284,3938,搔,,準1級,
943,3284,3939,掻,異体字,,
943,3285,3940,搶,,1級,
943,3286,3941,歃,,1級,
943,3287,3942,滄,,1級,
943,3288,3943,筲,,1級,
944,3289,3944,腠,,1級,
944,3290,3945,蒼,,準1級,
944,3291,3946,嗾,,1級,
944,3292,3947,嗽,,1級,
944,3293,3948,層,,5級,
944,3293,3949,層,旧字,1/準1級,
945,3294,3950,槍,,準1級,
945,3295,3951,漕,,準1級,
945,3296,3952,漱,,1級,
945,3297,3953,箒,,1級,
945,3298,3954,箏,,1級,
945,3298,3955,筝,異体字,,
945,3299,3956,粽,,1級,
945,3300,3957,総,,6級,
945,3300,3958,總,旧字,1/準1級,
947,3301,3959,綜,,準1級,
947,3302,3960,聡,,準1級,
947,3302,3961,聰,旧字,1/準1級,
947,3303,3962,遭,,3級,
947,3303,3963,,旧字,1/準1級,
947,3304,3964,噌,,準1級,
947,3304,3965,,異体字,,
947,3305,3966,槽,,準2級,
948,3306,3967,樔,,1級,
948,3307,3968,瘡,,1級,
948,3308,3969,諍,,1級,
948,3309,3970,踪,,2級,
948,3310,3971,噪,,1級,
948,3311,3972,懆,,1級,
948,3312,3973,操,,5級,
948,3313,3974,澡,,1級,
949,3314,3975,艙,,1級,
949,3315,3976,艘,,1級,
949,3315,3977,,異体字,,
949,3316,3978,輳,,1級,
949,3317,3979,錚,,1級,
949,3318,3980,燥,,4級,
949,3319,3981,甑,,準1級,
949,3319,3982,,異体字,,
949,3320,3983,簇,,1級,
949,3321,3984,糟,,準1級,
949,3322,3985,艚,,1級,
949,3323,3986,蹌,,1級,
950,3324,3987,霜,,準2級,
950,3325,3988,叢,,準1級,
950,3326,3989,藪,,準1級,
950,3326,3990,薮,異体字,,
951,3327,3991,鎗,,準1級,
951,3328,3992,騒,,4級,
951,3328,3993,騷,旧字,1/準1級,
952,3329,3994,藻,,準2級,
952,3330,3995,孀,,1級,
952,3331,3996,譟,,1級,
952,3332,3997,躁,,1級,
952,3333,3998,囃,,1級,
952,3334,3999,竈,,準1級,
952,3334,4000,竃,異体字,,
952,3335,4001,籔,,1級,
952,3336,4002,鰺,,準1級,
952,3337,4003,鯵,,,
953,3338,4004,造,,6級,
953,3338,4005,,旧字,1/準1級,
954,3339,4006,像,,6級,
954,3340,4007,増,,6級,
954,3340,4008,增,旧字,1/準1級,
954,3341,4009,憎,,3級,
954,3341,4010,憎,旧字,1/準1級,
955,3342,4011,慥,,1級,
955,3343,4012,臧,,1級,
955,3344,4013,蔵,,5級,
955,3344,4014,,旧字,1/準1級,
955,3344,4015,藏,旧字,1/準1級,
955,3345,4016,贈,,4級,
955,3345,4017,贈,旧字,1/準1級,
955,3346,4018,臓,,5級,
955,3346,4019,,旧字,1/準1級,
955,3346,4020,臟,旧字,1/準1級,
956,3347,4021,贓,,1級,
956,3348,4022,仄,,1級,
956,3349,4023,即,,4級,
956,3349,4024,卽,旧字,1/準1級,
956,3349,4025,,旧字,1/準1級,
957,3350,4026,束,,7級,
957,3351,4027,足,,10級,
959,3352,4028,促,,3級,
959,3353,4029,則,,6級,
959,3354,4030,息,,8級,
959,3355,4031,捉,,2級,
960,3356,4032,速,,8級,
960,3356,4033,,旧字,1/準1級,
960,3357,4034,側,,7級,
961,3358,4035,惻,,1級,
961,3359,4036,測,,6級,
961,3360,4037,熄,,1級,
961,3361,4038,俗,,4級,
962,3362,4039,族,,8級,
962,3363,4040,属,,6級,
962,3363,4041,屬,旧字,1/準1級,
963,3364,4042,粟,,準1級,
963,3365,4043,続,,7級,
963,3365,4044,續,旧字,1/準1級,
963,3366,4045,賊,,3級,
963,3367,4046,蔟,,1級,
963,3368,4047,鏃,,1級,
964,3369,4048,卒,,7級,
965,3370,4049,猝,,1級,
965,3371,4050,率,,6級,
965,3372,4051,杣,,1級,
966,3373,4052,艝,,1級,
966,3374,4053,轌,,1級,
966,3375,4054,存,,5級,
966,3376,4055,忖,,1級,
967,3377,4056,村,,10級,
967,3378,4057,邨,,1級,
967,3379,4058,拵,,1級,
967,3380,4059,孫,,7級,
967,3381,4060,尊,,5級,
967,3381,4061,,旧字,1/準1級,
968,3382,4062,巽,,準1級,
968,3382,4063,,旧字,1/準1級,
968,3383,4064,損,,6級,
968,3384,4065,遜,,2級,
968,3384,4066,,異体字,,
969,3385,4067,噂,,準1級,
969,3385,4068,,異体字,,
969,3386,4069,樽,,準1級,
969,3386,4070,,異体字,,
969,3387,4071,蹲,,1級,
969,3388,4072,鱒,,準1級,
969,3388,4073,,異体字,,
969,3389,4074,他,,8級,
970,3390,4075,多,,9級,
972,3391,4076,佗,,1級,
972,3392,4077,汰,,2級,
972,3393,4078,侘,,1級,
972,3394,4079,咤,,1級,
972,3395,4080,粏,,1級,
972,3396,4081,詑,,準1級,
972,3397,4082,跎,,1級,
972,3398,4083,詫,,準1級,
972,3399,4084,躱,,1級,
972,3400,4085,打,,8級,
973,3401,4086,朶,,1級,
973,3402,4087,兌,,1級,
973,3403,4088,妥,,準2級,
974,3404,4089,沱,,1級,
974,3405,4090,陀,,準1級,
974,3406,4091,柁,,準1級,
974,3407,4092,,,1級,
974,3407,4093,娜,異体字,,
974,3408,4094,拿,,1級,
974,3408,4095,拏,異体字,,
974,3409,4096,唾,,2級,
974,3410,4097,,,1級,
974,3410,4098,梛,異体字,,
974,3411,4099,舵,,準1級,
974,3412,4100,雫,,準1級,
974,3413,4101,堕,,準2級,
974,3413,4102,墮,旧字,1/準1級,
975,3414,4103,惰,,準2級,
975,3415,4104,楕,,準1級,
975,3415,4105,橢,異体字,,
975,3416,4106,駄,,準2級,
975,3417,4107,駝,,1級,
975,3418,4108,鴕,,1級,
976,3419,4109,懦,,1級,
976,3420,4110,糯,,1級,
976,3421,4111,太,,9級,
977,3422,4112,体,,9級,
977,3422,4113,體,旧字,1/準1級,
978,3423,4114,対,,8級,
978,3423,4115,對,旧字,1/準1級,
979,3424,4116,岱,,準1級,
979,3425,4117,苔,,準1級,
980,3426,4118,待,,8級,
980,3427,4119,怠,,3級,
980,3428,4120,殆,,準1級,
981,3429,4121,耐,,4級,
981,3430,4122,胎,,3級,
981,3431,4123,退,,5級,
981,3431,4124,,旧字,1/準1級,
982,3432,4125,帯,,7級,
982,3432,4126,帶,旧字,1/準1級,
983,3433,4127,泰,,準2級,
983,3434,4128,堆,,2級,
983,3435,4129,紿,,1級,
983,3436,4130,袋,,3級,
984,3437,4131,逮,,3級,
984,3437,4132,,旧字,1/準1級,
984,3438,4133,替,,4級,
984,3439,4134,詒,,1級,
984,3440,4135,貸,,6級,
984,3441,4136,隊,,7級,
984,3441,4137,,旧字,1/準1級,
985,3442,4138,滞,,3級,
985,3442,4139,滯,旧字,1/準1級,
985,3443,4140,瑇,,1級,
985,3443,4141,玳,異体字,,
985,3443,4142,,異体字,,
985,3444,4143,碓,,準1級,
985,3445,4144,態,,6級,
985,3446,4145,腿,,準1級,
985,3446,4146,,異体字,,
985,3447,4147,蔕,,1級,
985,3447,4148,蒂,異体字,,
985,3448,4149,颱,,1級,
986,3449,4150,褪,,1級,
986,3450,4151,駘,,1級,
986,3451,4152,頽,,1級,
986,3451,4153,,異体字,,
986,3452,4154,黛,,準1級,
986,3452,4155,,旧字,1/準1級,
986,3453,4156,戴,,2級,
986,3454,4157,擡,,1級,
986,3454,4158,抬,異体字,,
986,3455,4159,薹,,1級,
987,3456,4160,蠆,,1級,
987,3457,4161,鐓,,1級,
987,3458,4162,靆,,1級,
987,3459,4163,乃,,準1級,
987,3460,4164,大,,10級,
996,3461,4165,代,,8級,
997,3462,4166,台,,9級,
997,3462,4167,臺,旧字,1/準1級,
997,3463,4168,迺,,準1級,
997,3463,4169,廼,異体字,,
997,3464,4170,第,,8級,
997,3465,4171,醍,,準1級,
999,3466,4172,餒,,1級,
999,3467,4173,題,,8級,
1000,3468,4174,滝,,3級,
1000,3468,4175,瀧,旧字,1/準1級,
1000,3469,4176,宅,,5級,
1000,3470,4177,托,,準1級,
1000,3471,4178,択,,3級,
1000,3471,4179,擇,旧字,1/準1級,
1000,3472,4180,沢,,4級,
1000,3472,4181,澤,旧字,1/準1級,
1001,3473,4182,卓,,3級,
1001,3474,4183,拓,,4級,
1002,3475,4184,拆,,1級,
1002,3476,4185,柝,,1級,
1002,3477,4186,倬,,1級,
1002,3478,4187,啄,,準1級,
1002,3478,4188,,旧字,1/準1級,
1002,3479,4189,託,,3級,
1002,3480,4190,啅,,1級,
1002,3481,4191,琢,,準1級,
1002,3481,4192,琢,旧字,1/準1級,
1002,3482,4193,,,1級,
1002,3482,4194,磔,異体字,,
1003,3483,4195,擢,,準1級,
1003,3483,4196,,異体字,,
1003,3484,4197,濯,,準2級,
1003,3485,4198,戳,,1級,
1003,3486,4199,謫,,1級,
1003,3487,4200,鐸,,準1級,
1003,3488,4201,諾,,3級,
1003,3489,4202,濁,,4級,
1004,3490,4203,凧,,準1級,
1004,3491,4204,襷,,1級,
1005,3492,4205,但,,準2級,
1006,3493,4206,哳,,1級,
1006,3494,4207,達,,7級,
1006,3494,4208,,旧字,1/準1級,
1007,3495,4209,撻,,1級,
1007,3496,4210,燵,,1級,
1007,3497,4211,闥,,1級,
1007,3498,4212,韃,,準1級,
1007,3499,4213,妲,,1級,
1007,3500,4214,怛,,1級,
1007,3501,4215,脱,,4級,
1008,3501,4216,,旧字,1/準1級,
1008,3502,4217,奪,,3級,
1009,3503,4218,獺,,1級,
1009,3504,4219,棚,,準2級,
1009,3504,4220,,旧字,1/準1級,
1010,3505,4221,蟎,,1級,
1011,3506,4222,誰,,2級,
1011,3507,4223,丹,,4級,
1012,3508,4224,旦,,2級,
1012,3509,4225,坦,,準1級,
1012,3510,4226,担,,5級,
1012,3510,4227,擔,旧字,1/準1級,
1012,3511,4228,単,,7級,
1012,3511,4229,單,旧字,1/準1級,
1013,3512,4230,炭,,8級,
1013,3513,4231,眈,,1級,
1013,3514,4232,胆,,3級,
1013,3514,4233,膽,旧字,1/準1級,
1014,3515,4234,疸,,1級,
1014,3516,4235,站,,1級,
1014,3517,4236,耽,,準1級,
1014,3518,4237,袒,,1級,
1014,3519,4238,啖,,1級,
1014,3519,4239,啗,異体字,,
1014,3520,4240,探,,5級,
1015,3521,4241,淡,,4級,
1015,3522,4242,蛋,,準1級,
1015,3523,4243,酖,,1級,
1015,3524,4244,毯,,1級,
1016,3525,4245,湛,,準1級,
1016,3526,4246,湍,,1級,
1016,3527,4247,猯,,1級,
1016,3528,4248,短,,8級,
1017,3529,4249,覃,,1級,
1017,3530,4250,赧,,1級,
1017,3531,4251,亶,,1級,
1017,3532,4252,嘆,,4級,
1017,3532,4253,嘆,旧字,1/準1級,
1017,3533,4254,椴,,準1級,
1017,3534,4255,痰,,1級,
1017,3535,4256,蜑,,1級,
1017,3536,4257,摶,,1級,
1017,3537,4258,端,,4級,
1019,3538,4259,綻,,2級,
1019,3539,4260,靼,,1級,
1019,3540,4261,憚,,1級,
1019,3541,4262,歎,,準1級,
1019,3541,4263,,異体字,,
1019,3542,4264,,,1級,
1019,3542,4265,潭,異体字,,
1019,3543,4266,緞,,1級,
1019,3544,4267,誕,,5級,
1019,3544,4268,,旧字,1/準1級,
1020,3545,4269,鄲,,1級,
1020,3546,4270,憺,,1級,
1020,3547,4271,殫,,1級,
1020,3548,4272,澹,,1級,
1020,3549,4273,檀,,準1級,
1020,3550,4274,襌,,1級,
1020,3550,4275,褝,異体字,,
1020,3551,4276,賺,,1級,
1020,3552,4277,鍛,,3級,
1021,3553,4278,餤,,1級,
1021,3554,4279,簞,,準1級,
1021,3554,4280,箪,異体字,,
1021,3555,4281,譚,,1級,
1021,3555,4282,,異体字,,
1021,3556,4283,,,1級,
1021,3556,4284,鐔,異体字,,
1021,3557,4285,攤,,1級,
1021,3558,4286,驒,,準1級,
1021,3559,4287,騨,,,
1021,3560,4288,団,,6級,
1021,3560,4289,團,旧字,1/準1級,
1022,3561,4290,男,,10級,
1022,3562,4291,段,,5級,
1023,3563,4292,断,,6級,
1023,3563,4293,斷,旧字,1/準1級,
1024,3564,4294,弾,,4級,
1024,3564,4295,彈,旧字,1/準1級,
1025,3565,4296,暖,,5級,
1025,3565,4297,,旧字,1/準1級,
1025,3566,4298,煖,,1級,
1026,3567,4299,談,,8級,
1026,3568,4300,壇,,3級,
1026,3569,4301,灘,,準1級,
1026,3569,4302,,異体字,,
1026,3570,4303,地,,9級,
1029,3571,4304,池,,9級,
1030,3572,4305,知,,9級,
1030,3573,4306,胝,,1級,
1030,3574,4307,値,,5級,
1032,3575,4308,恥,,4級,
1032,3576,4309,致,,4級,
1032,3576,4310,,旧字,1/準1級,
1032,3577,4311,笞,,1級,
1032,3578,4312,智,,準1級,
1033,3579,4313,遅,,4級,
1033,3579,4314,遲,旧字,1/準1級,
1033,3580,4315,黹,,1級,
1033,3581,4316,痴,,準2級,
1033,3581,4317,癡,旧字,1/準1級,
