ID,旧字,新字,立命館,ID,旧字,新字,月刊誌「河川」
A0210,讀,読,o,B0210,體,体,o
A0211,屆,届,o,B0211,對,対,o
A0212,繩,縄,o,B0212,帶,帯,o
A0213,貳,弐,o,B0213,滯,滞,o
A0214,惱,悩,o,B0214,臺,台,o
A0215,腦,脳,o,B0215,瀧,滝,o
A0216,廢,廃,o,B0216,擇,択,o
A0217,拜,拝,o,B0217,澤,沢,o
A0218,賣,売,o,B0218,單,単,o
A0219,麥,麦,o,B0219,擔,担,o
A0220,發,発,o,B0220,膽,胆,o
A0221,髮,髪,o,B0221,團,団,o
A0222,拔,抜,o,B0222,彈,弾,o
A0223,蠻,蛮,o,B0223,斷,断,o
A0224,祕,秘,o,B0224,癡,痴,o
A0225,濱,浜,o,B0225,遲,遅,o
A0226,拂,払,o,B0226,晝,昼,o
A0227,佛,仏,o,B0227,蟲,虫,o
A0228,竝,並,o,B0228,鑄,鋳,o
A0229,變,変,o,B0229,猪,猪,o
A0230,邊,辺,o,B0230,廳,庁,o
A0231,邉,辺,o,B0231,聽,聴,o
A0232,辨,弁,o,B0232,敕,勅,o
A0233,辯,弁,o,B0233,鎭,鎮,o
A0234,瓣,弁,o,B0234,塚,塚,o
A0235,舖,舗,o,B0235,遞,逓,o
A0236,穗,穂,o,B0236,鐵,鉄,o
A0237,寶,宝,o,B0237,轉,転,o
A0238,豐,豊,o,B0238,點,点,o
A0239,沒,没,o,B0239,傳,伝,o
A0240,槇,槙,o,B0240,都,都,o
A0241,萬,万,o,B0241,黨,党,o
A0242,滿,満,o,B0242,盜,盗,o
A0243,默,黙,o,B0243,燈,灯,o
A0244,彌,弥,o,B0244,當,当,o
A0245,藥,薬,o,B0245,鬪,闘,o
A0246,譯,訳,o,B0246,德,徳,o
A0247,藪,薮,o,B0247,獨,独,o
A0248,豫,予,o,B0248,讀,読,o
A0249,餘,余,o,B0249,屆,届,o
A0250,與,与,o,B0250,繩,縄,o
A0251,譽,誉,o,B0251,貳,弐,o
A0252,搖,揺,o,B0252,姙,妊,o
A0253,樣,様,o,B0253,黏,粘,o
A0254,謠,謡,o,B0254,惱,悩,o
A0255,遙,遥,o,B0255,腦,脳,o
A0256,來,来,o,B0256,霸,覇,o
A0257,亂,乱,o,B0257,廢,廃,o
A0258,覽,覧,o,B0258,拜,拝,o
A0259,龍,竜,o,B0259,賣,売,o
A0260,兩,両,o,B0260,麥,麦,o
A0261,獵,猟,o,B0261,發,発,o
A0262,壘,塁,o,B0262,髮,髪,o
A0263,勵,励,o,B0263,拔,抜,o
A0264,禮,礼,o,B0264,飯,飯,o
A0265,隸,隷,o,B0265,蠻,蛮,o
A0266,靈,霊,o,B0266,祕,秘,o
A0267,齡,齢,o,B0267,濱,浜,o
A0268,戀,恋,o,B0268,甁,瓶,o
A0269,爐,炉,o,B0269,福,福,o
A0270,勞,労,o,B0270,拂,払,o
A0271,樓,楼,o,B0271,佛,仏,o
A0272,祿,禄,o,B0272,竝,並,o
A0273,灣,湾,o,B0273,變,変,o
A0274,瑤,瑶,o,B0274,邊,辺,o
,,,,B0275,邉,辺,o
,,,,B0276,辨,弁,o
,,,,B0277,辯,弁,o
,,,,B0278,瓣,弁,o
,,,,B0279,舖,舗,o
,,,,B0280,穗,穂,o
,,,,B0281,寶,宝,o
,,,,B0282,萠,萌,o
,,,,B0283,襃,褒,o
,,,,B0284,豐,豊,o
,,,,B0285,沒,没,o
,,,,B0286,飜,翻,o
,,,,B0287,槇,槙,o
,,,,B0288,萬,万,o
,,,,B0289,滿,満,o
,,,,B0290,默,黙,o
,,,,B0291,餠,餅,o
,,,,B0292,彌,弥,o
,,,,B0293,藥,薬,o
,,,,B0294,譯,訳,o
,,,,B0295,藪,薮,o
,,,,B0296,豫,予,o
,,,,B0297,餘,余,o
,,,,B0298,與,与,o
,,,,B0299,譽,誉,o
,,,,B0300,搖,揺,o
,,,,B0301,樣,様,o
,,,,B0302,謠,謡,o
,,,,B0303,遙,遥,o
,,,,B0304,瑤,瑶,o
,,,,B0305,慾,欲,o
,,,,B0306,來,来,o
,,,,B0307,賴,頼,o
,,,,B0308,亂,乱,o
,,,,B0309,覽,覧,o
,,,,B0310,畧,略,o
,,,,B0311,隆,隆,o
,,,,B0312,龍,竜,o
,,,,B0313,兩,両,o
,,,,B0314,獵,猟,o
,,,,B0315,綠,緑,o
,,,,B0316,鄰,隣,o
,,,,B0317,凛,凜,o
,,,,B0318,壘,塁,o
,,,,B0319,勵,励,o
,,,,B0320,禮,礼,o
,,,,B0321,隸,隷,o
,,,,B0322,靈,霊,o
,,,,B0323,齡,齢,o
,,,,B0324,戀,恋,o
,,,,B0325,爐,炉,o
,,,,B0326,勞,労,o
,,,,B0327,朗,朗,o
,,,,B0328,樓,楼,o
,,,,B0329,郞,郎,o
,,,,B0330,祿,禄,o
,,,,B0331,亙,亘,o
,,,,B0332,灣,湾,o
