漢字,JIS面区点コード,ユニコード,JIS水準
簫,1-68-52,U+7C2B,2
簽,1-68-53,U+7C3D,2
籌,1-68-54,U+7C4C,2
籃,1-68-55,U+7C43,2
籔,1-68-56,U+7C54,2
籏,1-68-57,U+7C4F,2
籀,1-68-58,U+7C40,2
籐,1-68-59,U+7C50,2
籘,1-68-60,U+7C58,2
籟,1-68-61,U+7C5F,2
籤,1-68-62,U+7C64,2
籖,1-68-63,U+7C56,2
籥,1-68-64,U+7C65,2
籬,1-68-65,U+7C6C,2
籵,1-68-66,U+7C75,2
粃,1-68-67,U+7C83,2
粐,1-68-68,U+7C90,2
粤,1-68-69,U+7CA4,2
粭,1-68-70,U+7CAD,2
粢,1-68-71,U+7CA2,2
粫,1-68-72,U+7CAB,2
粡,1-68-73,U+7CA1,2
粨,1-68-74,U+7CA8,2
粳,1-68-75,U+7CB3,2
粲,1-68-76,U+7CB2,2
粱,1-68-77,U+7CB1,2
粮,1-68-78,U+7CAE,2
粹,1-68-79,U+7CB9,2
粽,1-68-80,U+7CBD,2
糀,1-68-81,U+7CC0,2
糅,1-68-82,U+7CC5,2
糂,1-68-83,U+7CC2,2
糘,1-68-84,U+7CD8,2
糒,1-68-85,U+7CD2,2
糜,1-68-86,U+7CDC,2
糢,1-68-87,U+7CE2,2
鬻,1-68-88,U+9B3B,2
糯,1-68-89,U+7CEF,2
糲,1-68-90,U+7CF2,2
糴,1-68-91,U+7CF4,2
糶,1-68-92,U+7CF6,2
糺,1-68-93,U+7CFA,2
紆,1-68-94,U+7D06,2
紂,1-69-01,U+7D02,2
紜,1-69-02,U+7D1C,2
紕,1-69-03,U+7D15,2
紊,1-69-04,U+7D0A,2
絅,1-69-05,U+7D45,2
絋,1-69-06,U+7D4B,2
紮,1-69-07,U+7D2E,2
紲,1-69-08,U+7D32,2
紿,1-69-09,U+7D3F,2
紵,1-69-10,U+7D35,2
絆,1-69-11,U+7D46,2
絳,1-69-12,U+7D73,2
絖,1-69-13,U+7D56,2
絎,1-69-14,U+7D4E,2
絲,1-69-15,U+7D72,2
絨,1-69-16,U+7D68,2
絮,1-69-17,U+7D6E,2
絏,1-69-18,U+7D4F,2
絣,1-69-19,U+7D63,2
經,1-69-20,U+7D93,2
綉,1-69-21,U+7D89,2
絛,1-69-22,U+7D5B,2
綏,1-69-23,U+7D8F,2
絽,1-69-24,U+7D7D,2
綛,1-69-25,U+7D9B,2
綺,1-69-26,U+7DBA,2
綮,1-69-27,U+7DAE,2
綣,1-69-28,U+7DA3,2
綵,1-69-29,U+7DB5,2
緇,1-69-30,U+7DC7,2
綽,1-69-31,U+7DBD,2
綫,1-69-32,U+7DAB,2
總,1-69-33,U+7E3D,2
綢,1-69-34,U+7DA2,2
綯,1-69-35,U+7DAF,2
緜,1-69-36,U+7DDC,2
綸,1-69-37,U+7DB8,2
綟,1-69-38,U+7D9F,2
綰,1-69-39,U+7DB0,2
緘,1-69-40,U+7DD8,2
緝,1-69-41,U+7DDD,2
緤,1-69-42,U+7DE4,2
緞,1-69-43,U+7DDE,2
緻,1-69-44,U+7DFB,2
緲,1-69-45,U+7DF2,2
緡,1-69-46,U+7DE1,2
縅,1-69-47,U+7E05,2
縊,1-69-48,U+7E0A,2
縣,1-69-49,U+7E23,2
縡,1-69-50,U+7E21,2
縒,1-69-51,U+7E12,2
縱,1-69-52,U+7E31,2
縟,1-69-53,U+7E1F,2
縉,1-69-54,U+7E09,2
縋,1-69-55,U+7E0B,2
縢,1-69-56,U+7E22,2
繆,1-69-57,U+7E46,2
繦,1-69-58,U+7E66,2
縻,1-69-59,U+7E3B,2
縵,1-69-60,U+7E35,2
縹,1-69-61,U+7E39,2
繃,1-69-62,U+7E43,2
縷,1-69-63,U+7E37,2
縲,1-69-64,U+7E32,2
縺,1-69-65,U+7E3A,2
繧,1-69-66,U+7E67,2
繝,1-69-67,U+7E5D,2
繖,1-69-68,U+7E56,2
繞,1-69-69,U+7E5E,2
繙,1-69-70,U+7E59,2
繚,1-69-71,U+7E5A,2
繹,1-69-72,U+7E79,2
繪,1-69-73,U+7E6A,2
繩,1-69-74,U+7E69,2
繼,1-69-75,U+7E7C,2
繻,1-69-76,U+7E7B,2
纃,1-69-77,U+7E83,2
緕,1-69-78,U+7DD5,2
繽,1-69-79,U+7E7D,2
辮,1-69-80,U+8FAE,2
繿,1-69-81,U+7E7F,2
纈,1-69-82,U+7E88,2
纉,1-69-83,U+7E89,2
續,1-69-84,U+7E8C,2
纒,1-69-85,U+7E92,2
纐,1-69-86,U+7E90,2
纓,1-69-87,U+7E93,2
纔,1-69-88,U+7E94,2
纖,1-69-89,U+7E96,2
纎,1-69-90,U+7E8E,2
纛,1-69-91,U+7E9B,2
纜,1-69-92,U+7E9C,2
缸,1-69-93,U+7F38,2
缺,1-69-94,U+7F3A,2
罅,1-70-01,U+7F45,2
罌,1-70-02,U+7F4C,2
罍,1-70-03,U+7F4D,2
罎,1-70-04,U+7F4E,2
罐,1-70-05,U+7F50,2
网,1-70-06,U+7F51,2
罕,1-70-07,U+7F55,2
罔,1-70-08,U+7F54,2
罘,1-70-09,U+7F58,2
罟,1-70-10,U+7F5F,2
罠,1-70-11,U+7F60,2
罨,1-70-12,U+7F68,2
罩,1-70-13,U+7F69,2
罧,1-70-14,U+7F67,2
罸,1-70-15,U+7F78,2
羂,1-70-16,U+7F82,2
羆,1-70-17,U+7F86,2
羃,1-70-18,U+7F83,2
羈,1-70-19,U+7F88,2
羇,1-70-20,U+7F87,2
羌,1-70-21,U+7F8C,2
羔,1-70-22,U+7F94,2
羞,1-70-23,U+7F9E,2
羝,1-70-24,U+7F9D,2
羚,1-70-25,U+7F9A,2
羣,1-70-26,U+7FA3,2
羯,1-70-27,U+7FAF,2
羲,1-70-28,U+7FB2,2
羹,1-70-29,U+7FB9,2
羮,1-70-30,U+7FAE,2
羶,1-70-31,U+7FB6,2
羸,1-70-32,U+7FB8,2
譱,1-70-33,U+8B71,2
翅,1-70-34,U+7FC5,2
翆,1-70-35,U+7FC6,2
翊,1-70-36,U+7FCA,2
翕,1-70-37,U+7FD5,2
翔,1-70-38,U+7FD4,2
翡,1-70-39,U+7FE1,2
翦,1-70-40,U+7FE6,2
翩,1-70-41,U+7FE9,2
翳,1-70-42,U+7FF3,2
翹,1-70-43,U+7FF9,2
飜,1-70-44,U+98DC,2
耆,1-70-45,U+8006,2
耄,1-70-46,U+8004,2
耋,1-70-47,U+800B,2
耒,1-70-48,U+8012,2
耘,1-70-49,U+8018,2
耙,1-70-50,U+8019,2
耜,1-70-51,U+801C,2
耡,1-70-52,U+8021,2
耨,1-70-53,U+8028,2
耿,1-70-54,U+803F,2
耻,1-70-55,U+803B,2
聊,1-70-56,U+804A,2
聆,1-70-57,U+8046,2
聒,1-70-58,U+8052,2
聘,1-70-59,U+8058,2
聚,1-70-60,U+805A,2
聟,1-70-61,U+805F,2
聢,1-70-62,U+8062,2
聨,1-70-63,U+8068,2
聳,1-70-64,U+8073,2
聲,1-70-65,U+8072,2
聰,1-70-66,U+8070,2
聶,1-70-67,U+8076,2
聹,1-70-68,U+8079,2
聽,1-70-69,U+807D,2
聿,1-70-70,U+807F,2
肄,1-70-71,U+8084,2
肆,1-70-72,U+8086,2
肅,1-70-73,U+8085,2
肛,1-70-74,U+809B,2
肓,1-70-75,U+8093,2
肚,1-70-76,U+809A,2
肭,1-70-77,U+80AD,2
冐,1-70-78,U+5190,2
肬,1-70-79,U+80AC,2
胛,1-70-80,U+80DB,2
胥,1-70-81,U+80E5,2
胙,1-70-82,U+80D9,2
胝,1-70-83,U+80DD,2
胄,1-70-84,U+80C4,2
胚,1-70-85,U+80DA,2
胖,1-70-86,U+80D6,2
脉,1-70-87,U+8109,2
胯,1-70-88,U+80EF,2
胱,1-70-89,U+80F1,2
脛,1-70-90,U+811B,2
脩,1-70-91,U+8129,2
脣,1-70-92,U+8123,2
脯,1-70-93,U+812F,2
腋,1-70-94,U+814B,2
隋,1-71-01,U+968B,2
腆,1-71-02,U+8146,2
脾,1-71-03,U+813E,2
腓,1-71-04,U+8153,2
腑,1-71-05,U+8151,2
胼,1-71-06,U+80FC,2
腱,1-71-07,U+8171,2
腮,1-71-08,U+816E,2
腥,1-71-09,U+8165,2
腦,1-71-10,U+8166,2
腴,1-71-11,U+8174,2
膃,1-71-12,U+8183,2
膈,1-71-13,U+8188,2
膊,1-71-14,U+818A,2
膀,1-71-15,U+8180,2
膂,1-71-16,U+8182,2
膠,1-71-17,U+81A0,2
膕,1-71-18,U+8195,2
膤,1-71-19,U+81A4,2
膣,1-71-20,U+81A3,2
腟,1-71-21,U+815F,2
膓,1-71-22,U+8193,2
膩,1-71-23,U+81A9,2
膰,1-71-24,U+81B0,2
膵,1-71-25,U+81B5,2
膾,1-71-26,U+81BE,2
膸,1-71-27,U+81B8,2
膽,1-71-28,U+81BD,2
臀,1-71-29,U+81C0,2
臂,1-71-30,U+81C2,2
膺,1-71-31,U+81BA,2
臉,1-71-32,U+81C9,2
臍,1-71-33,U+81CD,2
臑,1-71-34,U+81D1,2
臙,1-71-35,U+81D9,2
臘,1-71-36,U+81D8,2
臈,1-71-37,U+81C8,2
臚,1-71-38,U+81DA,2
臟,1-71-39,U+81DF,2
臠,1-71-40,U+81E0,2
臧,1-71-41,U+81E7,2
臺,1-71-42,U+81FA,2
臻,1-71-43,U+81FB,2
臾,1-71-44,U+81FE,2
舁,1-71-45,U+8201,2
舂,1-71-46,U+8202,2
舅,1-71-47,U+8205,2
與,1-71-48,U+8207,2
舊,1-71-49,U+820A,2
舍,1-71-50,U+820D,2
舐,1-71-51,U+8210,2
舖,1-71-52,U+8216,2
舩,1-71-53,U+8229,2
舫,1-71-54,U+822B,2
舸,1-71-55,U+8238,2
舳,1-71-56,U+8233,2
艀,1-71-57,U+8240,2
艙,1-71-58,U+8259,2
艘,1-71-59,U+8258,2
艝,1-71-60,U+825D,2
艚,1-71-61,U+825A,2
艟,1-71-62,U+825F,2
艤,1-71-63,U+8264,2
艢,1-71-64,U+8262,2
艨,1-71-65,U+8268,2
艪,1-71-66,U+826A,2
艫,1-71-67,U+826B,2
舮,1-71-68,U+822E,2
艱,1-71-69,U+8271,2
艷,1-71-70,U+8277,2
艸,1-71-71,U+8278,2
艾,1-71-72,U+827E,2
芍,1-71-73,U+828D,2
芒,1-71-74,U+8292,2
芫,1-71-75,U+82AB,2
芟,1-71-76,U+829F,2
芻,1-71-77,U+82BB,2
芬,1-71-78,U+82AC,2
苡,1-71-79,U+82E1,2
苣,1-71-80,U+82E3,2
苟,1-71-81,U+82DF,2
苒,1-71-82,U+82D2,2
苴,1-71-83,U+82F4,2
苳,1-71-84,U+82F3,2
苺,1-71-85,U+82FA,2
莓,1-71-86,U+8393,2
范,1-71-87,U+8303,2
苻,1-71-88,U+82FB,2
苹,1-71-89,U+82F9,2
苞,1-71-90,U+82DE,2
茆,1-71-91,U+8306,2
苜,1-71-92,U+82DC,2
茉,1-71-93,U+8309,2
苙,1-71-94,U+82D9,2
茵,1-72-01,U+8335,2
茴,1-72-02,U+8334,2
茖,1-72-03,U+8316,2
茲,1-72-04,U+8332,2
茱,1-72-05,U+8331,2
荀,1-72-06,U+8340,2
茹,1-72-07,U+8339,2
荐,1-72-08,U+8350,2
荅,1-72-09,U+8345,2
茯,1-72-10,U+832F,2
茫,1-72-11,U+832B,2
茗,1-72-12,U+8317,2
茘,1-72-13,U+8318,2
莅,1-72-14,U+8385,2
莚,1-72-15,U+839A,2
莪,1-72-16,U+83AA,2
莟,1-72-17,U+839F,2
莢,1-72-18,U+83A2,2
莖,1-72-19,U+8396,2
茣,1-72-20,U+8323,2
莎,1-72-21,U+838E,2
莇,1-72-22,U+8387,2
莊,1-72-23,U+838A,2
荼,1-72-24,U+837C,2
莵,1-72-25,U+83B5,2
荳,1-72-26,U+8373,2
荵,1-72-27,U+8375,2
莠,1-72-28,U+83A0,2
莉,1-72-29,U+8389,2
莨,1-72-30,U+83A8,2
菴,1-72-31,U+83F4,2
萓,1-72-32,U+8413,2
菫,1-72-33,U+83EB,2
菎,1-72-34,U+83CE,2
菽,1-72-35,U+83FD,2
萃,1-72-36,U+8403,2
菘,1-72-37,U+83D8,2
萋,1-72-38,U+840B,2
菁,1-72-39,U+83C1,2
菷,1-72-40,U+83F7,2
萇,1-72-41,U+8407,2
菠,1-72-42,U+83E0,2
菲,1-72-43,U+83F2,2
萍,1-72-44,U+840D,2
萢,1-72-45,U+8422,2
萠,1-72-46,U+8420,2
莽,1-72-47,U+83BD,2
萸,1-72-48,U+8438,2
蔆,1-72-49,U+8506,2
菻,1-72-50,U+83FB,2
葭,1-72-51,U+846D,2
萪,1-72-52,U+842A,2
萼,1-72-53,U+843C,2
蕚,1-72-54,U+855A,2
蒄,1-72-55,U+8484,2
葷,1-72-56,U+8477,2
葫,1-72-57,U+846B,2
蒭,1-72-58,U+84AD,2
葮,1-72-59,U+846E,2
蒂,1-72-60,U+8482,2
葩,1-72-61,U+8469,2
葆,1-72-62,U+8446,2
萬,1-72-63,U+842C,2
葯,1-72-64,U+846F,2
葹,1-72-65,U+8479,2
萵,1-72-66,U+8435,2
蓊,1-72-67,U+84CA,2
葢,1-72-68,U+8462,2
蒹,1-72-69,U+84B9,2
蒿,1-72-70,U+84BF,2
蒟,1-72-71,U+849F,2
蓙,1-72-72,U+84D9,2
蓍,1-72-73,U+84CD,2
蒻,1-72-74,U+84BB,2
蓚,1-72-75,U+84DA,2
蓐,1-72-76,U+84D0,2
蓁,1-72-77,U+84C1,2
蓆,1-72-78,U+84C6,2
蓖,1-72-79,U+84D6,2
蒡,1-72-80,U+84A1,2
蔡,1-72-81,U+8521,2
蓿,1-72-82,U+84FF,2
蓴,1-72-83,U+84F4,2
蔗,1-72-84,U+8517,2
蔘,1-72-85,U+8518,2
蔬,1-72-86,U+852C,2
蔟,1-72-87,U+851F,2
蔕,1-72-88,U+8515,2
蔔,1-72-89,U+8514,2
蓼,1-72-90,U+84FC,2
蕀,1-72-91,U+8540,2
蕣,1-72-92,U+8563,2
蕘,1-72-93,U+8558,2
蕈,1-72-94,U+8548,2
蕁,1-73-01,U+8541,2
蘂,1-73-02,U+8602,2
蕋,1-73-03,U+854B,2
蕕,1-73-04,U+8555,2
薀,1-73-05,U+8580,2
薤,1-73-06,U+85A4,2
薈,1-73-07,U+8588,2
薑,1-73-08,U+8591,2
薊,1-73-09,U+858A,2
薨,1-73-10,U+85A8,2
蕭,1-73-11,U+856D,2
薔,1-73-12,U+8594,2
薛,1-73-13,U+859B,2
藪,1-73-14,U+85EA,2
薇,1-73-15,U+8587,2
薜,1-73-16,U+859C,2
蕷,1-73-17,U+8577,2
蕾,1-73-18,U+857E,2
薐,1-73-19,U+8590,2
藉,1-73-20,U+85C9,2
薺,1-73-21,U+85BA,2
藏,1-73-22,U+85CF,2
薹,1-73-23,U+85B9,2
藐,1-73-24,U+85D0,2
藕,1-73-25,U+85D5,2
藝,1-73-26,U+85DD,2
藥,1-73-27,U+85E5,2
藜,1-73-28,U+85DC,2
藹,1-73-29,U+85F9,2
蘊,1-73-30,U+860A,2
蘓,1-73-31,U+8613,2
蘋,1-73-32,U+860B,2
藾,1-73-33,U+85FE,2
藺,1-73-34,U+85FA,2
蘆,1-73-35,U+8606,2
蘢,1-73-36,U+8622,2
蘚,1-73-37,U+861A,2
蘰,1-73-38,U+8630,2
蘿,1-73-39,U+863F,2
虍,1-73-40,U+864D,2
乕,1-73-41,U+4E55,2
虔,1-73-42,U+8654,2
號,1-73-43,U+865F,2
虧,1-73-44,U+8667,2
虱,1-73-45,U+8671,2
蚓,1-73-46,U+8693,2
蚣,1-73-47,U+86A3,2
蚩,1-73-48,U+86A9,2
蚪,1-73-49,U+86AA,2
蚋,1-73-50,U+868B,2
蚌,1-73-51,U+868C,2
蚶,1-73-52,U+86B6,2
蚯,1-73-53,U+86AF,2
蛄,1-73-54,U+86C4,2
蛆,1-73-55,U+86C6,2
蚰,1-73-56,U+86B0,2
蛉,1-73-57,U+86C9,2
蠣,1-73-58,U+8823,2
蚫,1-73-59,U+86AB,2
蛔,1-73-60,U+86D4,2
蛞,1-73-61,U+86DE,2
蛩,1-73-62,U+86E9,2
蛬,1-73-63,U+86EC,2
蛟,1-73-64,U+86DF,2
蛛,1-73-65,U+86DB,2
蛯,1-73-66,U+86EF,2
蜒,1-73-67,U+8712,2
蜆,1-73-68,U+8706,2
蜈,1-73-69,U+8708,2
蜀,1-73-70,U+8700,2
蜃,1-73-71,U+8703,2
蛻,1-73-72,U+86FB,2
蜑,1-73-73,U+8711,2
蜉,1-73-74,U+8709,2
蜍,1-73-75,U+870D,2
蛹,1-73-76,U+86F9,2
蜊,1-73-77,U+870A,2
蜴,1-73-78,U+8734,2
蜿,1-73-79,U+873F,2
蜷,1-73-80,U+8737,2
蜻,1-73-81,U+873B,2
蜥,1-73-82,U+8725,2
蜩,1-73-83,U+8729,2
蜚,1-73-84,U+871A,2
蝠,1-73-85,U+8760,2
蝟,1-73-86,U+875F,2
蝸,1-73-87,U+8778,2
蝌,1-73-88,U+874C,2
蝎,1-73-89,U+874E,2
蝴,1-73-90,U+8774,2
蝗,1-73-91,U+8757,2
蝨,1-73-92,U+8768,2
蝮,1-73-93,U+876E,2
蝙,1-73-94,U+8759,2
蝓,1-74-01,U+8753,2
蝣,1-74-02,U+8763,2
蝪,1-74-03,U+876A,2
蠅,1-74-04,U+8805,2
螢,1-74-05,U+87A2,2
螟,1-74-06,U+879F,2
螂,1-74-07,U+8782,2
螯,1-74-08,U+87AF,2
蟋,1-74-09,U+87CB,2
螽,1-74-10,U+87BD,2
蟀,1-74-11,U+87C0,2
蟐,1-74-12,U+87D0,2
雖,1-74-13,U+96D6,2
螫,1-74-14,U+87AB,2
蟄,1-74-15,U+87C4,2
螳,1-74-16,U+87B3,2
蟇,1-74-17,U+87C7,2
蟆,1-74-18,U+87C6,2
螻,1-74-19,U+87BB,2
蟯,1-74-20,U+87EF,2
蟲,1-74-21,U+87F2,2
蟠,1-74-22,U+87E0,2
蠏,1-74-23,U+880F,2
蠍,1-74-24,U+880D,2
蟾,1-74-25,U+87FE,2
蟶,1-74-26,U+87F6,2
蟷,1-74-27,U+87F7,2
蠎,1-74-28,U+880E,2
蟒,1-74-29,U+87D2,2
蠑,1-74-30,U+8811,2
蠖,1-74-31,U+8816,2
蠕,1-74-32,U+8815,2
蠢,1-74-33,U+8822,2
蠡,1-74-34,U+8821,2
蠱,1-74-35,U+8831,2
蠶,1-74-36,U+8836,2
蠹,1-74-37,U+8839,2
蠧,1-74-38,U+8827,2
蠻,1-74-39,U+883B,2
衄,1-74-40,U+8844,2
衂,1-74-41,U+8842,2
衒,1-74-42,U+8852,2
衙,1-74-43,U+8859,2
衞,1-74-44,U+885E,2
衢,1-74-45,U+8862,2
衫,1-74-46,U+886B,2
袁,1-74-47,U+8881,2
衾,1-74-48,U+887E,2
袞,1-74-49,U+889E,2
衵,1-74-50,U+8875,2
衽,1-74-51,U+887D,2
袵,1-74-52,U+88B5,2
衲,1-74-53,U+8872,2
袂,1-74-54,U+8882,2
袗,1-74-55,U+8897,2
袒,1-74-56,U+8892,2
袮,1-74-57,U+88AE,2
袙,1-74-58,U+8899,2
袢,1-74-59,U+88A2,2
袍,1-74-60,U+888D,2
袤,1-74-61,U+88A4,2
袰,1-74-62,U+88B0,2
袿,1-74-63,U+88BF,2
袱,1-74-64,U+88B1,2
裃,1-74-65,U+88C3,2
裄,1-74-66,U+88C4,2
裔,1-74-67,U+88D4,2
裘,1-74-68,U+88D8,2
裙,1-74-69,U+88D9,2
裝,1-74-70,U+88DD,2
裹,1-74-71,U+88F9,2
褂,1-74-72,U+8902,2
裼,1-74-73,U+88FC,2
裴,1-74-74,U+88F4,2
裨,1-74-75,U+88E8,2
裲,1-74-76,U+88F2,2
褄,1-74-77,U+8904,2
褌,1-74-78,U+890C,2
褊,1-74-79,U+890A,2
褓,1-74-80,U+8913,2
襃,1-74-81,U+8943,2
褞,1-74-82,U+891E,2
褥,1-74-83,U+8925,2
褪,1-74-84,U+892A,2
褫,1-74-85,U+892B,2
襁,1-74-86,U+8941,2
襄,1-74-87,U+8944,2
褻,1-74-88,U+893B,2
褶,1-74-89,U+8936,2
褸,1-74-90,U+8938,2
襌,1-74-91,U+894C,2
褝,1-74-92,U+891D,2
襠,1-74-93,U+8960,2
襞,1-74-94,U+895E,2
襦,1-75-01,U+8966,2
襤,1-75-02,U+8964,2
襭,1-75-03,U+896D,2
襪,1-75-04,U+896A,2
襯,1-75-05,U+896F,2
襴,1-75-06,U+8974,2
襷,1-75-07,U+8977,2
襾,1-75-08,U+897E,2
覃,1-75-09,U+8983,2
覈,1-75-10,U+8988,2
覊,1-75-11,U+898A,2
覓,1-75-12,U+8993,2
覘,1-75-13,U+8998,2
覡,1-75-14,U+89A1,2
覩,1-75-15,U+89A9,2
覦,1-75-16,U+89A6,2
覬,1-75-17,U+89AC,2
覯,1-75-18,U+89AF,2
覲,1-75-19,U+89B2,2
覺,1-75-20,U+89BA,2
覽,1-75-21,U+89BD,2
覿,1-75-22,U+89BF,2
觀,1-75-23,U+89C0,2
觚,1-75-24,U+89DA,2
觜,1-75-25,U+89DC,2
觝,1-75-26,U+89DD,2
觧,1-75-27,U+89E7,2
觴,1-75-28,U+89F4,2
觸,1-75-29,U+89F8,2
訃,1-75-30,U+8A03,2
訖,1-75-31,U+8A16,2
訐,1-75-32,U+8A10,2
訌,1-75-33,U+8A0C,2
訛,1-75-34,U+8A1B,2
訝,1-75-35,U+8A1D,2
訥,1-75-36,U+8A25,2
訶,1-75-37,U+8A36,2
詁,1-75-38,U+8A41,2
詛,1-75-39,U+8A5B,2
詒,1-75-40,U+8A52,2
詆,1-75-41,U+8A46,2
詈,1-75-42,U+8A48,2
詼,1-75-43,U+8A7C,2
詭,1-75-44,U+8A6D,2
詬,1-75-45,U+8A6C,2
詢,1-75-46,U+8A62,2
誅,1-75-47,U+8A85,2
誂,1-75-48,U+8A82,2
誄,1-75-49,U+8A84,2
誨,1-75-50,U+8AA8,2
誡,1-75-51,U+8AA1,2
誑,1-75-52,U+8A91,2
誥,1-75-53,U+8AA5,2
誦,1-75-54,U+8AA6,2
誚,1-75-55,U+8A9A,2
誣,1-75-56,U+8AA3,2
諄,1-75-57,U+8AC4,2
諍,1-75-58,U+8ACD,2
諂,1-75-59,U+8AC2,2
諚,1-75-60,U+8ADA,2
諫,1-75-61,U+8AEB,2
諳,1-75-62,U+8AF3,2
諧,1-75-63,U+8AE7,2
諤,1-75-64,U+8AE4,2
諱,1-75-65,U+8AF1,2
謔,1-75-66,U+8B14,2
諠,1-75-67,U+8AE0,2
諢,1-75-68,U+8AE2,2
諷,1-75-69,U+8AF7,2
諞,1-75-70,U+8ADE,2
諛,1-75-71,U+8ADB,2
謌,1-75-72,U+8B0C,2
謇,1-75-73,U+8B07,2
謚,1-75-74,U+8B1A,2
諡,1-75-75,U+8AE1,2
謖,1-75-76,U+8B16,2
謐,1-75-77,U+8B10,2
謗,1-75-78,U+8B17,2
謠,1-75-79,U+8B20,2
謳,1-75-80,U+8B33,2
鞫,1-75-81,U+97AB,2
謦,1-75-82,U+8B26,2
謫,1-75-83,U+8B2B,2
謾,1-75-84,U+8B3E,2
謨,1-75-85,U+8B28,2
譁,1-75-86,U+8B41,2
譌,1-75-87,U+8B4C,2
譏,1-75-88,U+8B4F,2
譎,1-75-89,U+8B4E,2
證,1-75-90,U+8B49,2
譖,1-75-91,U+8B56,2
譛,1-75-92,U+8B5B,2
譚,1-75-93,U+8B5A,2
譫,1-75-94,U+8B6B,2
譟,1-76-01,U+8B5F,2
譬,1-76-02,U+8B6C,2
譯,1-76-03,U+8B6F,2
譴,1-76-04,U+8B74,2
譽,1-76-05,U+8B7D,2
讀,1-76-06,U+8B80,2
讌,1-76-07,U+8B8C,2
讎,1-76-08,U+8B8E,2
讒,1-76-09,U+8B92,2
讓,1-76-10,U+8B93,2
讖,1-76-11,U+8B96,2
讙,1-76-12,U+8B99,2
讚,1-76-13,U+8B9A,2
谺,1-76-14,U+8C3A,2
豁,1-76-15,U+8C41,2
谿,1-76-16,U+8C3F,2
豈,1-76-17,U+8C48,2
豌,1-76-18,U+8C4C,2
豎,1-76-19,U+8C4E,2
豐,1-76-20,U+8C50,2
豕,1-76-21,U+8C55,2
豢,1-76-22,U+8C62,2
豬,1-76-23,U+8C6C,2
豸,1-76-24,U+8C78,2
豺,1-76-25,U+8C7A,2
貂,1-76-26,U+8C82,2
貉,1-76-27,U+8C89,2
貅,1-76-28,U+8C85,2
貊,1-76-29,U+8C8A,2
貍,1-76-30,U+8C8D,2
貎,1-76-31,U+8C8E,2
貔,1-76-32,U+8C94,2
豼,1-76-33,U+8C7C,2
貘,1-76-34,U+8C98,2
戝,1-76-35,U+621D,2
貭,1-76-36,U+8CAD,2
貪,1-76-37,U+8CAA,2
貽,1-76-38,U+8CBD,2
貲,1-76-39,U+8CB2,2
貳,1-76-40,U+8CB3,2
貮,1-76-41,U+8CAE,2
貶,1-76-42,U+8CB6,2
賈,1-76-43,U+8CC8,2
賁,1-76-44,U+8CC1,2
賤,1-76-45,U+8CE4,2
賣,1-76-46,U+8CE3,2
賚,1-76-47,U+8CDA,2
賽,1-76-48,U+8CFD,2
賺,1-76-49,U+8CFA,2
賻,1-76-50,U+8CFB,2
贄,1-76-51,U+8D04,2
贅,1-76-52,U+8D05,2
贊,1-76-53,U+8D0A,2
贇,1-76-54,U+8D07,2
贏,1-76-55,U+8D0F,2
贍,1-76-56,U+8D0D,2
贐,1-76-57,U+8D10,2
齎,1-76-58,U+9F4E,2
贓,1-76-59,U+8D13,2
賍,1-76-60,U+8CCD,2
贔,1-76-61,U+8D14,2
贖,1-76-62,U+8D16,2
赧,1-76-63,U+8D67,2
赭,1-76-64,U+8D6D,2
赱,1-76-65,U+8D71,2
赳,1-76-66,U+8D73,2
趁,1-76-67,U+8D81,2
趙,1-76-68,U+8D99,2
跂,1-76-69,U+8DC2,2
趾,1-76-70,U+8DBE,2
趺,1-76-71,U+8DBA,2
跏,1-76-72,U+8DCF,2
跚,1-76-73,U+8DDA,2
跖,1-76-74,U+8DD6,2
跌,1-76-75,U+8DCC,2
跛,1-76-76,U+8DDB,2
跋,1-76-77,U+8DCB,2
跪,1-76-78,U+8DEA,2
跫,1-76-79,U+8DEB,2
跟,1-76-80,U+8DDF,2
跣,1-76-81,U+8DE3,2
跼,1-76-82,U+8DFC,2
踈,1-76-83,U+8E08,2
踉,1-76-84,U+8E09,2
跿,1-76-85,U+8DFF,2
踝,1-76-86,U+8E1D,2
踞,1-76-87,U+8E1E,2
踐,1-76-88,U+8E10,2
踟,1-76-89,U+8E1F,2
蹂,1-76-90,U+8E42,2
踵,1-76-91,U+8E35,2
踰,1-76-92,U+8E30,2
踴,1-76-93,U+8E34,2
蹊,1-76-94,U+8E4A,2
蹇,1-77-01,U+8E47,2
蹉,1-77-02,U+8E49,2
蹌,1-77-03,U+8E4C,2
蹐,1-77-04,U+8E50,2
蹈,1-77-05,U+8E48,2
蹙,1-77-06,U+8E59,2
蹤,1-77-07,U+8E64,2
蹠,1-77-08,U+8E60,2
踪,1-77-09,U+8E2A,2
蹣,1-77-10,U+8E63,2
蹕,1-77-11,U+8E55,2
蹶,1-77-12,U+8E76,2
蹲,1-77-13,U+8E72,2
蹼,1-77-14,U+8E7C,2
躁,1-77-15,U+8E81,2
躇,1-77-16,U+8E87,2
躅,1-77-17,U+8E85,2
躄,1-77-18,U+8E84,2
躋,1-77-19,U+8E8B,2
躊,1-77-20,U+8E8A,2
躓,1-77-21,U+8E93,2
躑,1-77-22,U+8E91,2
躔,1-77-23,U+8E94,2
