漢字,JIS面区点コード,ユニコード,JIS水準
衛,1-17-50,U+885B,1
詠,1-17-51,U+8A60,1
鋭,1-17-52,U+92ED,1
液,1-17-53,U+6DB2,1
疫,1-17-54,U+75AB,1
益,1-17-55,U+76CA,1
駅,1-17-56,U+99C5,1
悦,1-17-57,U+60A6,1
謁,1-17-58,U+8B01,1
越,1-17-59,U+8D8A,1
閲,1-17-60,U+95B2,1
榎,1-17-61,U+698E,1
厭,1-17-62,U+53AD,1
円,1-17-63,U+5186,1
園,1-17-64,U+5712,1
堰,1-17-65,U+5830,1
奄,1-17-66,U+5944,1
宴,1-17-67,U+5BB4,1
延,1-17-68,U+5EF6,1
怨,1-17-69,U+6028,1
掩,1-17-70,U+63A9,1
援,1-17-71,U+63F4,1
沿,1-17-72,U+6CBF,1
演,1-17-73,U+6F14,1
炎,1-17-74,U+708E,1
焔,1-17-75,U+7114,1
煙,1-17-76,U+7159,1
燕,1-17-77,U+71D5,1
猿,1-17-78,U+733F,1
縁,1-17-79,U+7E01,1
艶,1-17-80,U+8276,1
苑,1-17-81,U+82D1,1
薗,1-17-82,U+8597,1
遠,1-17-83,U+9060,1
鉛,1-17-84,U+925B,1
鴛,1-17-85,U+9D1B,1
塩,1-17-86,U+5869,1
於,1-17-87,U+65BC,1
汚,1-17-88,U+6C5A,1
甥,1-17-89,U+7525,1
凹,1-17-90,U+51F9,1
央,1-17-91,U+592E,1
奥,1-17-92,U+5965,1
往,1-17-93,U+5F80,1
応,1-17-94,U+5FDC,1
押,1-18-01,U+62BC,1
旺,1-18-02,U+65FA,1
横,1-18-03,U+6A2A,1
欧,1-18-04,U+6B27,1
殴,1-18-05,U+6BB4,1
王,1-18-06,U+738B,1
翁,1-18-07,U+7FC1,1
襖,1-18-08,U+8956,1
鴬,1-18-09,U+9D2C,1
鴎,1-18-10,U+9D0E,1
黄,1-18-11,U+9EC4,1
岡,1-18-12,U+5CA1,1
沖,1-18-13,U+6C96,1
荻,1-18-14,U+837B,1
億,1-18-15,U+5104,1
屋,1-18-16,U+5C4B,1
憶,1-18-17,U+61B6,1
臆,1-18-18,U+81C6,1
桶,1-18-19,U+6876,1
牡,1-18-20,U+7261,1
乙,1-18-21,U+4E59,1
俺,1-18-22,U+4FFA,1
卸,1-18-23,U+5378,1
恩,1-18-24,U+6069,1
温,1-18-25,U+6E29,1
穏,1-18-26,U+7A4F,1
音,1-18-27,U+97F3,1
下,1-18-28,U+4E0B,1
化,1-18-29,U+5316,1
仮,1-18-30,U+4EEE,1
何,1-18-31,U+4F55,1
伽,1-18-32,U+4F3D,1
価,1-18-33,U+4FA1,1
佳,1-18-34,U+4F73,1
加,1-18-35,U+52A0,1
可,1-18-36,U+53EF,1
嘉,1-18-37,U+5609,1
夏,1-18-38,U+590F,1
嫁,1-18-39,U+5AC1,1
家,1-18-40,U+5BB6,1
寡,1-18-41,U+5BE1,1
科,1-18-42,U+79D1,1
暇,1-18-43,U+6687,1
果,1-18-44,U+679C,1
架,1-18-45,U+67B6,1
歌,1-18-46,U+6B4C,1
河,1-18-47,U+6CB3,1
火,1-18-48,U+706B,1
珂,1-18-49,U+73C2,1
禍,1-18-50,U+798D,1
禾,1-18-51,U+79BE,1
稼,1-18-52,U+7A3C,1
箇,1-18-53,U+7B87,1
花,1-18-54,U+82B1,1
苛,1-18-55,U+82DB,1
茄,1-18-56,U+8304,1
荷,1-18-57,U+8377,1
華,1-18-58,U+83EF,1
菓,1-18-59,U+83D3,1
蝦,1-18-60,U+8766,1
課,1-18-61,U+8AB2,1
嘩,1-18-62,U+5629,1
貨,1-18-63,U+8CA8,1
迦,1-18-64,U+8FE6,1
過,1-18-65,U+904E,1
霞,1-18-66,U+971E,1
蚊,1-18-67,U+868A,1
俄,1-18-68,U+4FC4,1
峨,1-18-69,U+5CE8,1
我,1-18-70,U+6211,1
牙,1-18-71,U+7259,1
画,1-18-72,U+753B,1
臥,1-18-73,U+81E5,1
芽,1-18-74,U+82BD,1
蛾,1-18-75,U+86FE,1
賀,1-18-76,U+8CC0,1
雅,1-18-77,U+96C5,1
餓,1-18-78,U+9913,1
駕,1-18-79,U+99D5,1
介,1-18-80,U+4ECB,1
会,1-18-81,U+4F1A,1
解,1-18-82,U+89E3,1
回,1-18-83,U+56DE,1
塊,1-18-84,U+584A,1
壊,1-18-85,U+58CA,1
廻,1-18-86,U+5EFB,1
快,1-18-87,U+5FEB,1
怪,1-18-88,U+602A,1
悔,1-18-89,U+6094,1
恢,1-18-90,U+6062,1
懐,1-18-91,U+61D0,1
戒,1-18-92,U+6212,1
拐,1-18-93,U+62D0,1
改,1-18-94,U+6539,1
魁,1-19-01,U+9B41,1
晦,1-19-02,U+6666,1
械,1-19-03,U+68B0,1
海,1-19-04,U+6D77,1
灰,1-19-05,U+7070,1
界,1-19-06,U+754C,1
皆,1-19-07,U+7686,1
絵,1-19-08,U+7D75,1
芥,1-19-09,U+82A5,1
蟹,1-19-10,U+87F9,1
開,1-19-11,U+958B,1
階,1-19-12,U+968E,1
貝,1-19-13,U+8C9D,1
凱,1-19-14,U+51F1,1
劾,1-19-15,U+52BE,1
外,1-19-16,U+5916,1
咳,1-19-17,U+54B3,1
害,1-19-18,U+5BB3,1
崖,1-19-19,U+5D16,1
慨,1-19-20,U+6168,1
概,1-19-21,U+6982,1
涯,1-19-22,U+6DAF,1
碍,1-19-23,U+788D,1
蓋,1-19-24,U+84CB,1
街,1-19-25,U+8857,1
該,1-19-26,U+8A72,1
鎧,1-19-27,U+93A7,1
骸,1-19-28,U+9AB8,1
浬,1-19-29,U+6D6C,1
馨,1-19-30,U+99A8,1
蛙,1-19-31,U+86D9,1
垣,1-19-32,U+57A3,1
