ID,漢字,,,,
540,叟,叟,,,
541,哥,可,可,,
542,哦,口,我,,
543,唏,口,希,,
544,唔,口,吾,,
545,哽,口,更,,
546,哮,口,孝,,
547,哭,口,口,犬,
548,哢,口,弄,,
549,唳,口,戻,,
550,圄,囗,吾,,
551,埃,土,矣,,
552,埆,土,角,,
553,埒,土,寽,,
554,奚,土,幺,大,
555,奘,爿,士,大,
556,娥,女,我,,
557,娟,女,肙,,
558,娑,沙,女,,
559,娜,女,那,,
560,娉,女,甹,,
561,宦,宀,臣,,
562,宸,宀,辰,,
563,屓,尸,貝,,
564,峭,山,肖の旧字,,
565,峪,山,谷,,
566,恚,圭,心,,
567,恁,任,心,,
568,恙,⺷,心,,
569,悁,忄,肙,,
570,悍,忄,旱,,
571,悃,忄,困,,
572,悚,忄,束,,
573,悄,忄,肖の旧字,,
574,悛,忄,夋,,
575,悖,忄,孛,,
576,悒,忄,邑,,
577,悧,忄,利,,
578,悋,忄,吝,,
579,拿,合,手,,
580,挈,㓞,手,,
581,捐,扌,肙,,
582,捍,扌,旱,,
583,捏,扌,圼,,
584,捩,扌,戻,,
585,旃,方,栴のつくり,,
586,旆,方,𠂉,巿,
587,旁,旁,,,
588,旄,方,𠂉,毛,
589,晟,日,成,,
590,晁,日,兆,,
591,晏,日,安,,
592,耙,耒,巴,,
593,耘,耒,云,,
594,栩,木,羽の旧字,,
595,栞,幵,木,,
596,桙,木,牟,,
597,框,木,匡,,
598,桎,木,至,,
599,蚓,虫,引,,
600,蚪,虫,科,,
601,蚌,虫,丰,,
602,蚩,㞢,虫,,
603,蚣,虫,公,,
604,蚋,虫,內,,
605,栲,木,考,,
606,栫,木,存,,
607,胱,月,光,,
608,胯,月,夸,,
609,胼,月,并,,
610,韋,韋,,,
611,浣,氵,完,,
612,浙,氵,折,,
613,涕,氵,弟,,
614,涓,氵,肙,,
615,浹,氵,夾,,
616,浚,氵,夋,,
617,涅,氵,圼,,
618,涎,氵,延,,
619,笏,⺮,勿,,
620,笆,⺮,巴,,
621,笊,⺮,爪,,
622,笄,⺮,开,,
623,珮,王,几帀,,
624,珥,王,耳,,
625,珞,王,各,,
626,砠,石,且,,
627,紊,文,糸,,
628,紕,糸,比,,
629,紜,糸,云,,
630,耿,耳,火,,
631,鬯,鬯,,,
632,舫,舟,方,,
633,烋,休,灬,,
634,烝,丞,灬,,
635,烙,火,各,,
636,訖,言,乞,,
637,訌,言,工,,
638,訐,言,干,,
639,衾,今,衣,,
640,袗,衤,㐱,,
641,袙,衤,白,,
642,袢,衤,半の旧字,,
643,袒,衤,旦,,
644,袍,衤,包の旧字,,
645,躬,身,弓,,
646,狷,犭,肙,,
647,倏,亻,丨,攵,犬
648,羔,⺷,灬,,
649,眛,目,未,,
650,眩,目,玄,,
651,陜,阝,夾,,
652,陝,阝,㚒,,
653,陟,阝,步,,
654,陞,阝,升土,,
655,郛,孚,阝,,
656,郢,口壬,阝,,
657,郤,谷みたいなの,阝,,
658,疳,疒,甘,,
659,痃,疒,玄,,
660,痂,疒,加,,
661,疸,疒,旦,,
662,疽,疒,且,,
663,疼,疒,冬の旧字,,
664,疱,疒,包の旧字,,
665,莓,艹,每,,
666,莚,艹,延,,
667,莢,艹,夾,,
668,莪,艹,我,,
669,莟,艹,含,,
670,莎,艹,沙,,
671,莅,艹,位,,
672,芻,芻,,,
673,茣,艹,吳,,
674,莨,艹,良,,
675,荳,艹,豆,,
676,莠,艹,秀,,
677,殷,㐆,殳,,
678,荼,艹,余,,
679,荵,艹,忍,,
680,莉,艹,利,,
681,畛,田,㐱,,
682,畚,厶大,田,,
